chamber,ecosystem_name,ecosystem_block,rep,gas,estimate,p.value,average_temp_kelvin,total_vol_m3,flux,units,date,plot,sensor_soil_moisture_percent,oven_soil_moisture_percent,plant_biomass_g,plant_cover_percent,soil_temperature_c
SW 2-2,SW,2,2,ch4,-0.006223835,0.002504022,308.6,0.007145104,-0.60546835,mugc-ch4_m2_d,9/2/22,SW_2,15.2,44.6,64.21,3,21.2
SW 2-3,SW,2,3,ch4,0.028553787,0.155722774,305.3,0.007081765,2.782909946,mugc-ch4_m2_d,9/2/22,SW_2,31.2,31.7,64.21,3,21.4
SW 2-4,SW,2,4,ch4,-0.006533028,0.033272847,305.05,0.008538549,-0.76833089,mugc-ch4_m2_d,9/2/22,SW_2,6.4,25,64.21,60,21.2
UP 1-1,UP,1,1,ch4,-0.023770072,0.052762406,306.45,0.009171934,-2.989183163,mugc-ch4_m2_d,9/2/22,UP_1,21.6,31.6,53.12,5,21.8
UP 1-2,UP,1,2,ch4,-0.00701322,0.001786857,306,0.009551964,-0.919833941,mugc-ch4_m2_d,9/2/22,UP_1,18.5,29.9,53.12,10,22.3
UP 1-3,UP,1,3,ch4,-0.011355674,0.000543243,305.55,0.007968503,-1.244308553,mugc-ch4_m2_d,9/2/22,UP_1,19.5,34.1,53.12,5,22
UP 1-4,UP,1,4,ch4,-0.004749132,0.127875261,305.75,0.007905165,-0.515916586,mugc-ch4_m2_d,9/2/22,UP_1,23.3,32.4,53.12,5,21.4
UP 2-1,UP,2,1,ch4,-0.010236569,0.009806072,306.3,0.00891858,-1.252344621,mugc-ch4_m2_d,9/2/22,UP_2,24.6,30.5,88.47,5,22.4
UP 2-2,UP,2,2,ch4,-0.006068517,0.002470598,306.25,0.006765073,-0.563248067,mugc-ch4_m2_d,9/2/22,UP_2,35.2,27.8,88.47,NA,23.1
UP 2-3,UP,2,3,ch4,-0.004301692,0.333333333,305.2,0.008981918,-0.531917893,mugc-ch4_m2_d,9/2/22,UP_2,39.1,29,88.47,NA,22.9
UP 2-4,UP,2,4,ch4,-0.163464296,NA,305.75,0.008475211,-19.03827927,mugc-ch4_m2_d,9/2/22,UP_2,27.5,20.8,88.47,10,22.8
SW 1-1,SW,1,1,n2o,-0.000847238,0.455677732,305.7,0.006385043,-0.272478764,mugn-n2o_m2_d,9/2/22,SW_1,43.2,47.9,41.09,20,20.6
SW 1-2,SW,1,2,n2o,0.009235957,0.219117907,306.5,0.007651811,3.550375946,mugn-n2o_m2_d,9/2/22,SW_1,41.9,45.5,41.09,10,20.5
SW 1-3,SW,1,3,n2o,0.000182891,0.846610393,305.15,0.006955088,0.064185837,mugn-n2o_m2_d,9/2/22,SW_1,40.5,51.4,41.09,10,20.3
SW 1-4,SW,1,4,n2o,0.000493871,0.818975205,305.15,0.01012201,0.252246764,mugn-n2o_m2_d,9/2/22,SW_1,39.9,43.5,41.09,10,20.5
SW 2-1,SW,2,1,n2o,-0.011323913,0.023233799,305.6,0.007588473,-4.329684515,mugn-n2o_m2_d,9/2/22,SW_2,19.4,32.8,64.21,40,21.4
SW 2-2,SW,2,2,n2o,3.22E-05,0.969459216,308.6,0.007145104,0.011465644,mugn-n2o_m2_d,9/2/22,SW_2,15.2,44.6,64.21,3,21.2
SW 2-3,SW,2,3,n2o,0.006775319,0.185263889,305.3,0.007081765,2.419931961,mugn-n2o_m2_d,9/2/22,SW_2,31.2,31.7,64.21,3,21.4
SW 2-4,SW,2,4,n2o,-0.000508848,0.693661644,305.05,0.008538549,-0.219310682,mugn-n2o_m2_d,9/2/22,SW_2,6.4,25,64.21,60,21.2
UP 1-1,UP,1,1,n2o,-0.002212744,0.283550593,306.45,0.009171934,-1.019744112,mugn-n2o_m2_d,9/2/22,UP_1,21.6,31.6,53.12,5,21.8
UP 1-2,UP,1,2,n2o,-0.000328175,0.231358887,306,0.009551964,-0.157737546,mugn-n2o_m2_d,9/2/22,UP_1,18.5,29.9,53.12,10,22.3
UP 1-3,UP,1,3,n2o,0.000414545,0.355062859,305.55,0.007968503,0.166465641,mugn-n2o_m2_d,9/2/22,UP_1,19.5,34.1,53.12,5,22
UP 1-4,UP,1,4,n2o,0.001651382,0.101846813,305.75,0.007905165,0.657431629,mugn-n2o_m2_d,9/2/22,UP_1,23.3,32.4,53.12,5,21.4
UP 2-1,UP,2,1,n2o,-0.000248295,0.784053187,306.3,0.00891858,-0.11132034,mugn-n2o_m2_d,9/2/22,UP_2,24.6,30.5,88.47,5,22.4
UP 2-2,UP,2,2,n2o,-0.000162933,0.776307026,306.25,0.006765073,-0.055419833,mugn-n2o_m2_d,9/2/22,UP_2,35.2,27.8,88.47,NA,23.1
UP 2-3,UP,2,3,n2o,0.001513975,0.070845306,305.2,0.008981918,0.686059998,mugn-n2o_m2_d,9/2/22,UP_2,39.1,29,88.47,NA,22.9
UP 2-4,UP,2,4,n2o,-0.028887629,NA,305.75,0.008475211,-12.32976076,mugn-n2o_m2_d,9/2/22,UP_2,27.5,20.8,88.47,10,22.8
SW 1-1,SW,1,1,co2,22.97646118,0.004864546,302.75,0.006385043,2.036027059,mgc-co2_m2_d,9/16/22,SW_1,43.1,47.5,44.56,30,19.3
SW 1-2,SW,1,2,co2,16.60322045,0.000593577,302.65,0.007651811,1.763748355,mgc-co2_m2_d,9/16/22,SW_1,46.5,45.7,44.56,20,18.9
SW 1-3,SW,1,3,co2,14.59021348,0.000421288,302.55,0.006955088,1.409249371,mgc-co2_m2_d,9/16/22,SW_1,37,36.1,44.56,20,19
SW 1-4,SW,1,4,co2,11.22550389,0.005034991,302.65,0.01012201,1.577439312,mgc-co2_m2_d,9/16/22,SW_1,41.9,40.7,44.56,25,19.1
SW 2-1,SW,2,1,co2,23.60601984,0.000104555,304.8,0.007588473,2.469351589,mgc-co2_m2_d,9/16/22,SW_2,11.9,39.2,57.5,10,19.1
SW 2-2,SW,2,2,co2,19.76559228,0.00339777,304.65,0.007145104,1.947771181,mgc-co2_m2_d,9/16/22,SW_2,34.4,36.7,57.5,5,19
SW 2-3,SW,2,3,co2,14.60204464,0.00011968,304.6,0.007081765,1.426415388,mgc-co2_m2_d,9/16/22,SW_2,20,35.2,57.5,10,18.7
SW 2-4,SW,2,4,co2,24.64991986,0.000215527,304.75,0.008538549,2.901860986,mgc-co2_m2_d,9/16/22,SW_2,27.5,35,57.5,65,19.2
UP 1-1,UP,1,1,co2,22.42185394,0.002151932,302.75,0.009171934,2.85409891,mgc-co2_m2_d,9/16/22,UP_1,26.7,33.1,82.33,5,21.2
UP 1-2,UP,1,2,co2,16.3834385,0.00388084,303.9,0.009551964,2.163653759,mgc-co2_m2_d,9/16/22,UP_1,28.6,29.5,82.33,5,21.2
UP 1-3,UP,1,3,co2,30.29106849,0.002520611,301.25,0.007968503,3.366549536,mgc-co2_m2_d,9/16/22,UP_1,23.8,31.2,82.33,NA,20.4
UP 1-4,UP,1,4,co2,18.65843684,0.002283659,301.55,0.007905165,2.055169256,mgc-co2_m2_d,9/16/22,UP_1,26.7,36.4,82.33,15,21.2
UP 2-1,UP,2,1,co2,13.09086923,0.000126033,305.1,0.00891858,1.607839598,mgc-co2_m2_d,9/16/22,UP_2,32.4,24.7,65.22,5,21.4
UP 2-2,UP,2,2,co2,14.62742222,0.000241136,305.2,0.006765073,1.362311701,mgc-co2_m2_d,9/16/22,UP_2,37.3,29.1,65.22,10,21.2
UP 2-3,UP,2,3,co2,8.909847572,0.008378975,304.75,0.008981918,1.103357819,mgc-co2_m2_d,9/16/22,UP_2,37.3,31.2,65.22,NA,21.3
UP 2-4,UP,2,4,co2,19.62109916,2.57E-05,304.2,0.008475211,2.29686449,mgc-co2_m2_d,9/16/22,UP_2,29.9,24.5,65.22,5,21.1
SW 1-1,SW,1,1,ch4,7.02E-05,0.994826535,302.75,0.006385043,0.006219266,mugc-ch4_m2_d,9/16/22,SW_1,43.1,47.5,44.56,30,19.3
SW 1-2,SW,1,2,ch4,-0.000116788,0.894297399,302.65,0.007651811,-0.012406327,mugc-ch4_m2_d,9/16/22,SW_1,46.5,45.7,44.56,20,18.9
SW 1-3,SW,1,3,ch4,-0.008401609,0.227428475,302.55,0.006955088,-0.811500276,mugc-ch4_m2_d,9/16/22,SW_1,37,36.1,44.56,20,19
SW 1-4,SW,1,4,ch4,-0.002057003,0.196839693,302.65,0.01012201,-0.289055894,mugc-ch4_m2_d,9/16/22,SW_1,41.9,40.7,44.56,25,19.1
SW 2-1,SW,2,1,ch4,-0.015035417,0.047450288,304.8,0.007588473,-1.572807734,mugc-ch4_m2_d,9/16/22,SW_2,11.9,39.2,57.5,10,19.1
SW 2-2,SW,2,2,ch4,-0.007013894,0.086521717,304.65,0.007145104,-0.691173883,mugc-ch4_m2_d,9/16/22,SW_2,34.4,36.7,57.5,5,19
SW 2-3,SW,2,3,ch4,-0.011971984,0.112230107,304.6,0.007081765,-1.169495237,mugc-ch4_m2_d,9/16/22,SW_2,20,35.2,57.5,10,18.7
SW 2-4,SW,2,4,ch4,-0.006694266,0.00903452,304.75,0.008538549,-0.788068602,mugc-ch4_m2_d,9/16/22,SW_2,27.5,35,57.5,65,19.2
UP 1-1,UP,1,1,ch4,-0.011493922,0.035270594,302.75,0.009171934,-1.463072183,mugc-ch4_m2_d,9/16/22,UP_1,26.7,33.1,82.33,5,21.2
UP 1-2,UP,1,2,ch4,-0.003941771,0.005152864,303.9,0.009551964,-0.520564018,mugc-ch4_m2_d,9/16/22,UP_1,28.6,29.5,82.33,5,21.2
UP 1-3,UP,1,3,ch4,-0.012450542,0.0017683,301.25,0.007968503,-1.383753333,mugc-ch4_m2_d,9/16/22,UP_1,23.8,31.2,82.33,NA,20.4
UP 1-4,UP,1,4,ch4,0.001828606,0.937789073,301.55,0.007905165,0.201415359,mugc-ch4_m2_d,9/16/22,UP_1,26.7,36.4,82.33,15,21.2
UP 2-1,UP,2,1,ch4,-0.010005166,0.380506818,305.1,0.00891858,-1.228849066,mugc-ch4_m2_d,9/16/22,UP_2,32.4,24.7,65.22,5,21.4
UP 2-2,UP,2,2,ch4,-0.00470599,0.028720974,305.2,0.006765073,-0.438288132,mugc-ch4_m2_d,9/16/22,UP_2,37.3,29.1,65.22,10,21.2
UP 2-3,UP,2,3,ch4,-0.009862275,0.265413251,304.75,0.008981918,-1.221302437,mugc-ch4_m2_d,9/16/22,UP_2,37.3,31.2,65.22,NA,21.3
UP 2-4,UP,2,4,ch4,0.013953133,0.129561712,304.2,0.008475211,1.633367021,mugc-ch4_m2_d,9/16/22,UP_2,29.9,24.5,65.22,5,21.1
SW 1-1,SW,1,1,n2o,0.00113553,0.491587868,302.75,0.006385043,0.36875436,mugn-n2o_m2_d,9/16/22,SW_1,43.1,47.5,44.56,30,19.3
SW 1-2,SW,1,2,n2o,0.000315332,0.49072576,302.65,0.007651811,0.122757987,mugn-n2o_m2_d,9/16/22,SW_1,46.5,45.7,44.56,20,18.9
SW 1-3,SW,1,3,n2o,-0.001166494,0.083914988,302.55,0.006955088,-0.412901842,mugn-n2o_m2_d,9/16/22,SW_1,37,36.1,44.56,20,19
SW 1-4,SW,1,4,n2o,-0.000342698,0.731072663,302.65,0.01012201,-0.17648034,mugn-n2o_m2_d,9/16/22,SW_1,41.9,40.7,44.56,25,19.1
SW 2-1,SW,2,1,n2o,-0.000783115,0.308916196,304.8,0.007588473,-0.300208925,mugn-n2o_m2_d,9/16/22,SW_2,11.9,39.2,57.5,10,19.1
SW 2-2,SW,2,2,n2o,0.000853161,0.855896052,304.65,0.007145104,0.308103726,mugn-n2o_m2_d,9/16/22,SW_2,34.4,36.7,57.5,5,19
SW 2-3,SW,2,3,n2o,0.000212174,0.139318411,304.6,0.007081765,0.075956143,mugn-n2o_m2_d,9/16/22,SW_2,20,35.2,57.5,10,18.7
SW 2-4,SW,2,4,n2o,-0.000108583,0.885255771,304.75,0.008538549,-0.046844643,mugn-n2o_m2_d,9/16/22,SW_2,27.5,35,57.5,65,19.2
UP 1-1,UP,1,1,n2o,-0.000522864,0.304804673,302.75,0.009171934,-0.243906908,mugn-n2o_m2_d,9/16/22,UP_1,26.7,33.1,82.33,5,21.2
UP 1-2,UP,1,2,n2o,0.00063962,0.38335097,303.9,0.009551964,0.309558425,mugn-n2o_m2_d,9/16/22,UP_1,28.6,29.5,82.33,5,21.2
UP 1-3,UP,1,3,n2o,0.000529101,0.566619724,301.25,0.007968503,0.215499654,mugn-n2o_m2_d,9/16/22,UP_1,23.8,31.2,82.33,NA,20.4
UP 1-4,UP,1,4,n2o,0.003044417,0.661430953,301.55,0.007905165,1.228893884,mugn-n2o_m2_d,9/16/22,UP_1,26.7,36.4,82.33,15,21.2
UP 2-1,UP,2,1,n2o,-0.001308863,0.099251564,305.1,0.00891858,-0.589123753,mugn-n2o_m2_d,9/16/22,UP_2,32.4,24.7,65.22,5,21.4
UP 2-2,UP,2,2,n2o,-0.000131732,0.644331098,305.2,0.006765073,-0.044961226,mugn-n2o_m2_d,9/16/22,UP_2,37.3,29.1,65.22,10,21.2
UP 2-3,UP,2,3,n2o,-0.001920527,0.002278688,304.75,0.008981918,-0.87157449,mugn-n2o_m2_d,9/16/22,UP_2,37.3,31.2,65.22,NA,21.3
UP 2-4,UP,2,4,n2o,0.001312596,0.22964111,304.2,0.008475211,0.563094048,mugn-n2o_m2_d,9/16/22,UP_2,29.9,24.5,65.22,5,21.1
SW 1-1,SW,1,1,co2,12.40723806,0.006284864,290.15,0.006385043,1.14719461,mgc-co2_m2_d,9/30/22,SW_1,43.4,NA,47.23,20,14.5
SW 1-2,SW,1,2,co2,9.713590781,3.28E-05,290.05,0.007651811,1.076693024,mgc-co2_m2_d,9/30/22,SW_1,46.5,NA,47.23,15,14.6
SW 1-3,SW,1,3,co2,8.274545227,0.000238652,290.05,0.006955088,0.833670867,mgc-co2_m2_d,9/30/22,SW_1,43.4,NA,47.23,10,14.3
SW 1-4,SW,1,4,co2,6.160307982,0.152289534,290.2,0.01012201,0.902801995,mgc-co2_m2_d,9/30/22,SW_1,44.3,NA,47.23,20,14.4
SW 2-1,SW,2,1,co2,14.66674906,0.000196479,293.9,0.007588473,1.591143687,mgc-co2_m2_d,9/30/22,SW_2,12.6,NA,54.91,5,13.5
SW 2-2,SW,2,2,co2,12.680651,0.015975502,293.7,0.007145104,1.296184695,mgc-co2_m2_d,9/30/22,SW_2,40.4,NA,54.91,NA,13.5
SW 2-3,SW,2,3,co2,10.73990984,8.38E-06,294.05,0.007081765,1.086780141,mgc-co2_m2_d,9/30/22,SW_2,35.9,NA,54.91,5,13.7
SW 2-4,SW,2,4,co2,16.92920864,0.001123019,293.9,0.008538549,2.066530777,mgc-co2_m2_d,9/30/22,SW_2,12.9,NA,54.91,85,13.5
UP 1-1,UP,1,1,co2,12.11729286,0.003067964,294.6,0.009171934,1.585092146,mgc-co2_m2_d,9/30/22,UP_1,29.9,NA,81.85,5,15.3
UP 1-2,UP,1,2,co2,9.496525079,0.001294702,294.55,0.009551964,1.293954784,mgc-co2_m2_d,9/30/22,UP_1,28.9,NA,81.85,5,15.1
UP 1-3,UP,1,3,co2,14.03784157,0.000241807,294.2,0.007968503,1.597552503,mgc-co2_m2_d,9/30/22,UP_1,23.5,NA,81.85,NA,14.6
UP 1-4,UP,1,4,co2,10.06878911,3.67E-05,294.6,0.007905165,1.135209907,mgc-co2_m2_d,9/30/22,UP_1,30.6,NA,81.85,NA,14.9
UP 2-1,UP,2,1,co2,7.947557137,0.001217402,289.1,0.00891858,1.030153662,mgc-co2_m2_d,9/30/22,UP_2,35.7,NA,95.3,NA,14.8
UP 2-2,UP,2,2,co2,10.83612548,0.128236053,290.05,0.006765073,1.061926294,mgc-co2_m2_d,9/30/22,UP_2,35.5,NA,95.3,5,15.1
UP 2-3,UP,2,3,co2,7.41251345,0.003173133,290.15,0.008981918,0.964123651,mgc-co2_m2_d,9/30/22,UP_2,38.5,NA,95.3,NA,14.9
UP 2-4,UP,2,4,co2,12.54774547,0.000235039,290.3,0.008475211,1.539181786,mgc-co2_m2_d,9/30/22,UP_2,30.1,NA,95.3,10,14.5
SW 1-1,SW,1,1,ch4,-0.001560332,0.825201557,290.15,0.006385043,-0.14427098,mugc-ch4_m2_d,9/30/22,SW_1,43.4,NA,47.23,20,14.5
SW 1-2,SW,1,2,ch4,-0.001633456,0.111105399,290.05,0.007651811,-0.181058799,mugc-ch4_m2_d,9/30/22,SW_1,46.5,NA,47.23,15,14.6
SW 1-3,SW,1,3,ch4,-0.008106581,0.073959232,290.05,0.006955088,-0.816748258,mugc-ch4_m2_d,9/30/22,SW_1,43.4,NA,47.23,10,14.3
SW 1-4,SW,1,4,ch4,-0.006085896,0.552389144,290.2,0.01012201,-0.891896885,mugc-ch4_m2_d,9/30/22,SW_1,44.3,NA,47.23,20,14.4
SW 2-1,SW,2,1,ch4,-0.006130915,0.013784197,293.9,0.007588473,-0.665121275,mugc-ch4_m2_d,9/30/22,SW_2,12.6,NA,54.91,5,13.5
SW 2-2,SW,2,2,ch4,-0.049705144,0.049608248,293.7,0.007145104,-5.080736565,mugc-ch4_m2_d,9/30/22,SW_2,40.4,NA,54.91,NA,13.5
SW 2-3,SW,2,3,ch4,-0.012110271,0.005663906,294.05,0.007081765,-1.225448102,mugc-ch4_m2_d,9/30/22,SW_2,35.9,NA,54.91,5,13.7
SW 2-4,SW,2,4,ch4,-0.015165411,0.032698944,293.9,0.008538549,-1.851225865,mugc-ch4_m2_d,9/30/22,SW_2,12.9,NA,54.91,85,13.5
UP 1-1,UP,1,1,ch4,-0.00802162,0.856572217,294.6,0.009171934,-1.049327334,mugc-ch4_m2_d,9/30/22,UP_1,29.9,NA,81.85,5,15.3
UP 1-2,UP,1,2,ch4,-0.005477452,0.901097901,294.55,0.009551964,-0.746333489,mugc-ch4_m2_d,9/30/22,UP_1,28.9,NA,81.85,5,15.1
UP 1-3,UP,1,3,ch4,-0.00721613,0.012089705,294.2,0.007968503,-0.821219349,mugc-ch4_m2_d,9/30/22,UP_1,23.5,NA,81.85,NA,14.6
UP 1-4,UP,1,4,ch4,-0.011625525,0.010439076,294.6,0.007905165,-1.310724706,mugc-ch4_m2_d,9/30/22,UP_1,30.6,NA,81.85,NA,14.9
UP 2-1,UP,2,1,ch4,-0.004211455,0.010374818,289.1,0.00891858,-0.545884211,mugc-ch4_m2_d,9/30/22,UP_2,35.7,NA,95.3,NA,14.8
UP 2-2,UP,2,2,ch4,-0.004728121,0.442089327,290.05,0.006765073,-0.463349787,mugc-ch4_m2_d,9/30/22,UP_2,35.5,NA,95.3,5,15.1
UP 2-3,UP,2,3,ch4,-0.002831294,0.465075458,290.15,0.008981918,-0.368258009,mugc-ch4_m2_d,9/30/22,UP_2,38.5,NA,95.3,NA,14.9
UP 2-4,UP,2,4,ch4,-0.001333166,0.079125586,290.3,0.008475211,-0.163534114,mugc-ch4_m2_d,9/30/22,UP_2,30.1,NA,95.3,10,14.5
SW 1-1,SW,1,1,n2o,-0.000102005,0.400192027,290.15,0.006385043,-0.034563673,mugn-n2o_m2_d,9/30/22,SW_1,43.4,NA,47.23,20,14.5
SW 1-2,SW,1,2,n2o,0.000338042,0.204744115,290.05,0.007651811,0.137315791,mugn-n2o_m2_d,9/30/22,SW_1,46.5,NA,47.23,15,14.6
SW 1-3,SW,1,3,n2o,-0.000333564,0.827103373,290.05,0.006955088,-0.123159287,mugn-n2o_m2_d,9/30/22,SW_1,43.4,NA,47.23,10,14.3
SW 1-4,SW,1,4,n2o,-0.000232462,0.729058127,290.2,0.01012201,-0.124847632,mugn-n2o_m2_d,9/30/22,SW_1,44.3,NA,47.23,20,14.4
SW 2-1,SW,2,1,n2o,0.000722191,0.730905592,293.9,0.007588473,0.287121422,mugn-n2o_m2_d,9/30/22,SW_2,12.6,NA,54.91,5,13.5
SW 2-2,SW,2,2,n2o,-0.007547523,0.060252958,293.7,0.007145104,-2.827273023,mugn-n2o_m2_d,9/30/22,SW_2,40.4,NA,54.91,NA,13.5
SW 2-3,SW,2,3,n2o,0.000177927,0.642802684,294.05,0.007081765,0.065981392,mugn-n2o_m2_d,9/30/22,SW_2,35.9,NA,54.91,5,13.7
SW 2-4,SW,2,4,n2o,-5.40E-05,0.961249903,293.9,0.008538549,-0.024173471,mugn-n2o_m2_d,9/30/22,SW_2,12.9,NA,54.91,85,13.5
UP 1-1,UP,1,1,n2o,-0.001209119,0.227933005,294.6,0.009171934,-0.579636963,mugn-n2o_m2_d,9/30/22,UP_1,29.9,NA,81.85,5,15.3
UP 1-2,UP,1,2,n2o,-0.003074872,0.588863684,294.55,0.009551964,-1.535392534,mugn-n2o_m2_d,9/30/22,UP_1,28.9,NA,81.85,5,15.1
UP 1-3,UP,1,3,n2o,0.00018542,0.285024953,294.2,0.007968503,0.077330226,mugn-n2o_m2_d,9/30/22,UP_1,23.5,NA,81.85,NA,14.6
UP 1-4,UP,1,4,n2o,-0.000190388,0.271070371,294.6,0.007905165,-0.078664272,mugn-n2o_m2_d,9/30/22,UP_1,30.6,NA,81.85,NA,14.9
UP 2-1,UP,2,1,n2o,-0.001255101,0.244614514,289.1,0.00891858,-0.596190407,mugn-n2o_m2_d,9/30/22,UP_2,35.7,NA,95.3,NA,14.8
UP 2-2,UP,2,2,n2o,-0.000740559,0.578642343,290.05,0.006765073,-0.265961155,mugn-n2o_m2_d,9/30/22,UP_2,35.5,NA,95.3,5,15.1
UP 2-3,UP,2,3,n2o,-0.001822108,0.529928743,290.15,0.008981918,-0.86851917,mugn-n2o_m2_d,9/30/22,UP_2,38.5,NA,95.3,NA,14.9
UP 2-4,UP,2,4,n2o,-0.000334191,0.196615854,290.3,0.008475211,-0.150230038,mugn-n2o_m2_d,9/30/22,UP_2,30.1,NA,95.3,10,14.5
SW 1-1,SW,1,1,co2,3.320569732,0.0124529,285.4,0.006385043,0.312135521,mgc-co2_m2_d,10/19/22,SW_1,21.6,NA,54.86,NA,9.9
SW 1-2,SW,1,2,co2,4.873303049,0.003500193,285.25,0.007651811,0.549266019,mgc-co2_m2_d,10/19/22,SW_1,28.1,NA,54.86,NA,10.2
SW 1-3,SW,1,3,co2,2.797612738,0.014257317,285.15,0.006955088,0.286706528,mgc-co2_m2_d,10/19/22,SW_1,30.1,NA,54.86,5,11.1
SW 1-4,SW,1,4,co2,4.085003318,0.000369619,285.6,0.01012201,0.608305445,mgc-co2_m2_d,10/19/22,SW_1,22.5,NA,54.86,20,10.4
SW 2-1,SW,2,1,co2,7.706973061,3.60E-05,285.25,0.007588473,0.861456421,mgc-co2_m2_d,10/19/22,SW_2,17,NA,48.36,10,11
SW 2-2,SW,2,2,co2,8.607192359,0.00471355,285,0.007145104,0.906663087,mgc-co2_m2_d,10/19/22,SW_2,12.3,NA,48.36,5,10.5
SW 2-3,SW,2,3,co2,5.135704312,0.000225827,285.05,0.007081765,0.536094323,mgc-co2_m2_d,10/19/22,SW_2,21.4,NA,48.36,NA,10.8
SW 2-4,SW,2,4,co2,6.338338175,9.56E-05,285.1,0.008538549,0.797596052,mgc-co2_m2_d,10/19/22,SW_2,15.7,NA,48.36,65,11.1
UP 1-1,UP,1,1,co2,6.873411266,2.26E-06,284.7,0.009171934,0.930393174,mgc-co2_m2_d,10/19/22,UP_1,26.8,NA,52.51,10,10.6
UP 1-2,UP,1,2,co2,4.497931544,0.003198649,284.85,0.009551964,0.633738404,mgc-co2_m2_d,10/19/22,UP_1,29.1,NA,52.51,15,11.1
UP 1-3,UP,1,3,co2,62.9330937,0.027767806,284.8,0.007968503,7.398378881,mgc-co2_m2_d,10/19/22,UP_1,31.1,NA,52.51,15,11.4
UP 1-4,UP,1,4,co2,5.396511014,0.00042108,284.6,0.007905165,0.629810421,mgc-co2_m2_d,10/19/22,UP_1,23.7,NA,52.51,5,10.8
UP 2-1,UP,2,1,co2,4.444310408,0.011721478,284.8,0.00891858,0.584764289,mgc-co2_m2_d,10/19/22,UP_2,21.4,NA,52.21,10,9.9
UP 2-2,UP,2,2,co2,4.731933462,0.000272763,284.65,0.006765073,0.472520505,mgc-co2_m2_d,10/19/22,UP_2,19.4,NA,52.21,10,10.1
UP 2-3,UP,2,3,co2,4.198809084,0.002126391,284.85,0.008981918,0.556288038,mgc-co2_m2_d,10/19/22,UP_2,18.7,NA,52.21,5,10.2
UP 2-4,UP,2,4,co2,6.997381892,0.000323535,284.75,0.008475211,0.875070603,mgc-co2_m2_d,10/19/22,UP_2,20.1,NA,52.21,5,9.8
SW 1-1,SW,1,1,ch4,-0.010197031,0.19756039,285.4,0.006385043,-0.958526977,mugc-ch4_m2_d,10/19/22,SW_1,21.6,NA,54.86,NA,9.9
SW 1-2,SW,1,2,ch4,-0.001124922,0.624765736,285.25,0.007651811,-0.126788991,mugc-ch4_m2_d,10/19/22,SW_1,28.1,NA,54.86,NA,10.2
SW 1-3,SW,1,3,ch4,-0.00220425,0.930915066,285.15,0.006955088,-0.225897244,mugc-ch4_m2_d,10/19/22,SW_1,30.1,NA,54.86,5,11.1
SW 1-4,SW,1,4,ch4,0.00193864,0.084434235,285.6,0.01012201,0.288686483,mugc-ch4_m2_d,10/19/22,SW_1,22.5,NA,54.86,20,10.4
SW 2-1,SW,2,1,ch4,-0.010951397,0.143208283,285.25,0.007588473,-1.22410594,mugc-ch4_m2_d,10/19/22,SW_2,17,NA,48.36,10,11
SW 2-2,SW,2,2,ch4,-0.016718882,0.313067783,285,0.007145104,-1.761130977,mugc-ch4_m2_d,10/19/22,SW_2,12.3,NA,48.36,5,10.5
SW 2-3,SW,2,3,ch4,-0.001700869,0.223147422,285.05,0.007081765,-0.17754652,mugc-ch4_m2_d,10/19/22,SW_2,21.4,NA,48.36,NA,10.8
SW 2-4,SW,2,4,ch4,-0.01245857,0.098536317,285.1,0.008538549,-1.567746358,mugc-ch4_m2_d,10/19/22,SW_2,15.7,NA,48.36,65,11.1
UP 1-1,UP,1,1,ch4,-0.012801223,0.481086409,284.7,0.009171934,-1.732788864,mugc-ch4_m2_d,10/19/22,UP_1,26.8,NA,52.51,10,10.6
UP 1-2,UP,1,2,ch4,0.007047787,0.857825287,284.85,0.009551964,0.993001649,mugc-ch4_m2_d,10/19/22,UP_1,29.1,NA,52.51,15,11.1
UP 1-3,UP,1,3,ch4,-0.028507536,0.033424344,284.8,0.007968503,-3.351329803,mugc-ch4_m2_d,10/19/22,UP_1,31.1,NA,52.51,15,11.4
UP 1-4,UP,1,4,ch4,-0.016631357,0.06582784,284.6,0.007905165,-1.94099521,mugc-ch4_m2_d,10/19/22,UP_1,23.7,NA,52.51,5,10.8
UP 2-1,UP,2,1,ch4,-0.045808482,0.040818989,284.8,0.00891858,-6.027293709,mugc-ch4_m2_d,10/19/22,UP_2,21.4,NA,52.21,10,9.9
UP 2-2,UP,2,2,ch4,-0.012501246,0.114421515,284.65,0.006765073,-1.248347074,mugc-ch4_m2_d,10/19/22,UP_2,19.4,NA,52.21,10,10.1
UP 2-3,UP,2,3,ch4,0.027198697,0.126909967,284.85,0.008981918,3.603476449,mugc-ch4_m2_d,10/19/22,UP_2,18.7,NA,52.21,5,10.2
UP 2-4,UP,2,4,ch4,-0.004062509,0.096831303,284.75,0.008475211,-0.508044561,mugc-ch4_m2_d,10/19/22,UP_2,20.1,NA,52.21,5,9.8
SW 1-1,SW,1,1,n2o,-0.001358218,0.122083107,285.4,0.006385043,-0.467883777,mugn-n2o_m2_d,10/19/22,SW_1,21.6,NA,54.86,NA,9.9
SW 1-2,SW,1,2,n2o,0.001017705,0.371450733,285.25,0.007651811,0.420357999,mugn-n2o_m2_d,10/19/22,SW_1,28.1,NA,54.86,NA,10.2
SW 1-3,SW,1,3,n2o,-0.000272996,0.947550236,285.15,0.006955088,-0.102528536,mugn-n2o_m2_d,10/19/22,SW_1,30.1,NA,54.86,5,11.1
