genus,species,native,n,fraction,year,plot,change_species_freq,mean_native_species_freq
helianthus,pauciflorus,1,4,0.018,1984,NA,NA,0.001
helianthus,pauciflorus,1,6,0.027,1987,NA,0.009000000000000001,0.001
helianthus,pauciflorus,1,3,0.014,1995,NA,-0.013,0.001
helianthus,pauciflorus,1,5,0.021,2005,NA,0.007000000000000001,0.001
heserostipa,spartea,1,13,0.059,1979,NA,NA,-0.003
heserostipa,spartea,1,18,0.081,1980,NA,0.022000000000000006,-0.003
heserostipa,spartea,1,19,0.086,1981,NA,0.0049999999999999906,-0.003
heserostipa,spartea,1,13,0.059,1982,NA,-0.026999999999999996,-0.003
heserostipa,spartea,1,9,0.041,1984,NA,-0.017999999999999995,-0.003
heserostipa,spartea,1,7,0.032,1987,NA,-0.009000000000000001,-0.003
heserostipa,spartea,1,16,0.072,1995,NA,0.039999999999999994,-0.003
heserostipa,spartea,1,10,0.041,2005,NA,-0.030999999999999993,-0.003
heuchera,richardsonii,1,3,0.014,1979,NA,NA,-0.001
heuchera,richardsonii,1,3,0.014,1980,NA,0,-0.001
heuchera,richardsonii,1,3,0.014,1981,NA,0,-0.001
heuchera,richardsonii,1,4,0.018,1982,NA,0.003999999999999998,-0.001
heuchera,richardsonii,1,3,0.014,1984,NA,-0.003999999999999998,-0.001
heuchera,richardsonii,1,5,0.023,1987,NA,0.009,-0.001
heuchera,richardsonii,1,1,0.005,1995,NA,-0.018,-0.001
hypericum,punctatum,1,2,0.009,1979,NA,NA,-0.001
hypericum,punctatum,1,4,0.018,1980,NA,0.009,-0.001
hypericum,punctatum,1,4,0.018,1981,NA,0,-0.001
hypericum,punctatum,1,7,0.032,1982,NA,0.014000000000000002,-0.001
hypericum,punctatum,1,4,0.018,1984,NA,-0.014000000000000002,-0.001
hypericum,punctatum,1,1,0.005,1987,NA,-0.012999999999999998,-0.001
iris,virginica var. shrevei,1,1,0.005,1995,NA,NA,NA
juncus,balticus ssp. littoralis,1,3,0.014,1979,NA,NA,-0.001
juncus,balticus ssp. littoralis,1,5,0.023,1980,NA,0.009,-0.001
juncus,balticus ssp. littoralis,1,5,0.023,1981,NA,0,-0.001
juncus,balticus ssp. littoralis,1,5,0.023,1982,NA,0,-0.001
juncus,balticus ssp. littoralis,1,3,0.014,1984,NA,-0.009,-0.001
juncus,balticus ssp. littoralis,1,4,0.018,1987,NA,0.003999999999999998,-0.001
juncus,balticus ssp. littoralis,1,6,0.027,1995,NA,0.009000000000000001,-0.001
juncus,balticus ssp. littoralis,1,2,0.008,2005,NA,-0.019,-0.001
juncus,dudleyi,1,7,0.032,1979,NA,NA,-0.005
juncus,dudleyi,1,8,0.036,1980,NA,0.003999999999999997,-0.005
juncus,dudleyi,1,9,0.041,1981,NA,0.0050000000000000044,-0.005
juncus,dudleyi,1,10,0.045,1982,NA,0.003999999999999997,-0.005
juncus,dudleyi,1,8,0.036,1987,NA,-0.009000000000000001,-0.005
juncus,dudleyi,1,10,0.045,1995,NA,0.009000000000000001,-0.005
juncus,dudleyi,1,1,0.004,2005,NA,-0.040999999999999995,-0.005
juncus,sp.,1,1,0.005,1979,NA,NA,0
juncus,sp.,1,1,0.005,1980,NA,0,0
juncus,sp.,1,1,0.005,1981,NA,0,0
juncus,sp.,1,1,0.005,1982,NA,0,0
juncus,torreyi,1,1,0.005,1979,NA,NA,0
juncus,torreyi,1,1,0.005,1980,NA,0,0
juncus,torreyi,1,1,0.005,1981,NA,0,0
juncus,torreyi,1,1,0.005,1982,NA,0,0
juncus,torreyi,1,1,0.005,1995,NA,0,0
juniperus,virginiana,1,1,0.004,2005,NA,NA,NA
koeleria,macrantha,1,3,0.014,1979,NA,NA,-0.002
koeleria,macrantha,1,3,0.014,1980,NA,0,-0.002
koeleria,macrantha,1,3,0.014,1981,NA,0,-0.002
koeleria,macrantha,1,2,0.009,1982,NA,-0.005000000000000001,-0.002
koeleria,macrantha,1,1,0.005,1995,NA,-0.003999999999999999,-0.002
krigia,biflora,1,2,0.009,1979,NA,NA,-0.001
krigia,biflora,1,1,0.005,1980,NA,-0.003999999999999999,-0.001
krigia,biflora,1,2,0.009,1981,NA,0.003999999999999999,-0.001
krigia,biflora,1,2,0.009,1982,NA,0,-0.001
krigia,biflora,1,1,0.005,1995,NA,-0.003999999999999999,-0.001
lactuca,canadensis,1,6,0.027,1979,NA,NA,-0.004
lactuca,canadensis,1,2,0.009,1980,NA,-0.018000000000000002,-0.004
lactuca,canadensis,1,6,0.027,1981,NA,0.018000000000000002,-0.004
lactuca,canadensis,1,6,0.027,1982,NA,0,-0.004
lactuca,canadensis,1,4,0.018,1984,NA,-0.009000000000000001,-0.004
lactuca,canadensis,1,5,0.023,1987,NA,0.005000000000000001,-0.004
lactuca,canadensis,1,1,0.005,1995,NA,-0.018,-0.004
lathyrus,palustris,1,3,0.014,1979,NA,NA,-0.002
lathyrus,palustris,1,2,0.009,1980,NA,-0.005000000000000001,-0.002
lathyrus,palustris,1,4,0.018,1981,NA,0.009,-0.002
lathyrus,palustris,1,2,0.009,1982,NA,-0.009,-0.002
lathyrus,palustris,1,1,0.005,1984,NA,-0.003999999999999999,-0.002
lathyrus,palustris,1,1,0.005,1995,NA,0,-0.002
lepidium,virginicum,1,1,0.005,1987,NA,NA,NA
lespedeza,capitata,1,2,0.009,1981,NA,NA,NA
liatris,aspera,1,51,0.231,1995,NA,NA,-0.053
liatris,aspera,1,43,0.178,2005,NA,-0.05300000000000002,-0.053
liatris,pycnostachya,1,5,0.023,1995,NA,NA,NA
liatris,sp.,1,25,0.113,1979,NA,NA,0.008
liatris,sp.,1,36,0.162,1980,NA,0.049,0.008
liatris,sp.,1,43,0.195,1981,NA,0.033,0.008
liatris,sp.,1,50,0.225,1982,NA,0.03,0.008
liatris,sp.,1,1,0.005,1984,NA,-0.22,0.008
liatris,sp.,1,34,0.154,1987,NA,0.149,0.008
liatris,spicata,1,1,0.005,1980,NA,NA,0.009
liatris,spicata,1,2,0.009,1981,NA,0.003999999999999999,0.009
liatris,spicata,1,2,0.009,1982,NA,0,0.009
liatris,spicata,1,33,0.149,1984,NA,0.13999999999999999,0.009
liatris,spicata,1,25,0.113,1987,NA,-0.03599999999999999,0.009
liatris,spicata,1,18,0.081,1995,NA,-0.032,0.009
liatris,spicata,1,14,0.058,2005,NA,-0.023,0.009
lilium,michiganense,1,3,0.014,1979,NA,NA,-0.001
lilium,michiganense,1,2,0.009,1980,NA,-0.005000000000000001,-0.001
lilium,michiganense,1,3,0.014,1981,NA,0.005000000000000001,-0.001
lilium,michiganense,1,4,0.018,1982,NA,0.003999999999999998,-0.001
lilium,michiganense,1,2,0.009,1984,NA,-0.009,-0.001
lilium,philadelphicum var. andinum,1,1,0.005,1982,NA,NA,NA
lithospermum,canescens,1,13,0.059,1979,NA,NA,0.005
lithospermum,canescens,1,16,0.072,1980,NA,0.012999999999999998,0.005
lithospermum,canescens,1,19,0.086,1981,NA,0.013999999999999999,0.005
lithospermum,canescens,1,20,0.09,1982,NA,0.0040000000000000036,0.005
lithospermum,canescens,1,9,0.041,1984,NA,-0.048999999999999995,0.005
lithospermum,canescens,1,19,0.086,1987,NA,0.04499999999999999,0.005
lithospermum,canescens,1,18,0.081,1995,NA,-0.0049999999999999906,0.005
lithospermum,canescens,1,23,0.095,2005,NA,0.013999999999999999,0.005
lobelia,spicata,1,8,0.036,1979,NA,NA,-0.005
lobelia,spicata,1,8,0.036,1980,NA,0,-0.005
lobelia,spicata,1,11,0.05,1981,NA,0.014000000000000005,-0.005
lobelia,spicata,1,7,0.032,1982,NA,-0.018000000000000002,-0.005
lobelia,spicata,1,2,0.009,1984,NA,-0.023,-0.005
lobelia,spicata,1,2,0.009,1987,NA,0,-0.005
lycopus,americanus,1,28,0.126,1979,NA,NA,-0.006
lycopus,americanus,1,35,0.158,1980,NA,0.032,-0.006
lycopus,americanus,1,37,0.167,1981,NA,0.009000000000000008,-0.006
lycopus,americanus,1,42,0.189,1982,NA,0.021999999999999992,-0.006
lycopus,americanus,1,30,0.135,1984,NA,-0.05399999999999999,-0.006
lycopus,americanus,1,38,0.172,1987,NA,0.03699999999999998,-0.006
lycopus,americanus,1,30,0.136,1995,NA,-0.035999999999999976,-0.006
lycopus,americanus,1,21,0.087,2005,NA,-0.049000000000000016,-0.006
lysimachia,ciliata,1,2,0.009,1980,NA,NA,-0.001
lysimachia,ciliata,1,6,0.027,1981,NA,0.018000000000000002,-0.001
lysimachia,ciliata,1,2,0.009,1982,NA,-0.018000000000000002,-0.001
lysimachia,ciliata,1,1,0.005,1987,NA,-0.003999999999999999,-0.001
lysimachia,quadriflora,1,5,0.023,1984,NA,NA,-0.007
lysimachia,quadriflora,1,6,0.027,1987,NA,0.004,-0.007
lysimachia,quadriflora,1,2,0.009,1995,NA,-0.018000000000000002,-0.007
lythrum,alatum,1,2,0.009,1979,NA,NA,0.003
lythrum,alatum,1,4,0.018,1980,NA,0.009,0.003
lythrum,alatum,1,6,0.027,1981,NA,0.009000000000000001,0.003
lythrum,alatum,1,5,0.023,1982,NA,-0.004,0.003
lythrum,alatum,1,7,0.032,1984,NA,0.009000000000000001,0.003
lythrum,alatum,1,10,0.045,1987,NA,0.012999999999999998,0.003
lythrum,alatum,1,4,0.018,1995,NA,-0.027,0.003
lythrum,alatum,1,8,0.033,2005,NA,0.015000000000000003,0.003
maianthemum,stellatum,1,51,0.23,1979,NA,NA,-0.018
maianthemum,stellatum,1,52,0.234,1980,NA,0.0040000000000000036,-0.018
maianthemum,stellatum,1,51,0.231,1981,NA,-0.0030000000000000027,-0.018
maianthemum,stellatum,1,54,0.243,1982,NA,0.011999999999999983,-0.018
maianthemum,stellatum,1,32,0.144,1984,NA,-0.099,-0.018
maianthemum,stellatum,1,37,0.167,1987,NA,0.02300000000000002,-0.018
maianthemum,stellatum,1,56,0.253,1995,NA,0.086,-0.018
maianthemum,stellatum,1,26,0.107,2005,NA,-0.14600000000000002,-0.018
mentha,arvensis,1,1,0.005,1995,NA,NA,NA
moehringia,lateriflora,1,1,0.005,1979,NA,NA,0.001
moehringia,lateriflora,1,1,0.005,1980,NA,0,0.001
moehringia,lateriflora,1,4,0.018,1981,NA,0.012999999999999998,0.001
moehringia,lateriflora,1,1,0.005,1982,NA,-0.012999999999999998,0.001
moehringia,lateriflora,1,3,0.014,1987,NA,0.009000000000000001,0.001
moehringia,lateriflora,1,2,0.009,1995,NA,-0.005000000000000001,0.001
monarda,fistulosa,1,7,0.032,1979,NA,NA,0.007
monarda,fistulosa,1,8,0.036,1980,NA,0.003999999999999997,0.007
monarda,fistulosa,1,8,0.036,1981,NA,0,0.007
monarda,fistulosa,1,9,0.041,1982,NA,0.0050000000000000044,0.007
monarda,fistulosa,1,12,0.054,1984,NA,0.012999999999999998,0.007
monarda,fistulosa,1,11,0.05,1987,NA,-0.003999999999999997,0.007
monarda,fistulosa,1,15,0.068,1995,NA,0.018000000000000002,0.007
monarda,fistulosa,1,19,0.079,2005,NA,0.010999999999999996,0.007
nabalus,asperus,1,2,0.009,1980,NA,NA,NA
nabalus,sp.,1,1,0.005,1980,NA,NA,0
nabalus,sp.,1,1,0.005,1981,NA,0,0
nabalus,sp.,1,1,0.005,1982,NA,0,0
nabalus,sp.,1,1,0.005,1987,NA,0,0
oenothera,biennis,1,10,0.045,1979,NA,NA,-0.003
oenothera,biennis,1,16,0.072,1980,NA,0.026999999999999996,-0.003
oenothera,biennis,1,20,0.09,1981,NA,0.018000000000000002,-0.003
oenothera,biennis,1,18,0.081,1982,NA,-0.008999999999999994,-0.003
oenothera,biennis,1,11,0.05,1984,NA,-0.031,-0.003
oenothera,biennis,1,10,0.045,1987,NA,-0.0050000000000000044,-0.003
oenothera,biennis,1,21,0.095,1995,NA,0.05,-0.003
oenothera,biennis,1,6,0.025,2005,NA,-0.07,-0.003
oenothera,perennis,1,1,0.005,1979,NA,NA,0
oenothera,perennis,1,1,0.005,1981,NA,0,0
oenothera,perennis,1,1,0.005,1982,NA,0,0
oenothera,perennis,1,1,0.005,1987,NA,0,0
oxalis,stricta,1,4,0.018,1979,NA,NA,-0.001
oxalis,stricta,1,4,0.018,1980,NA,0,-0.001
oxalis,stricta,1,4,0.018,1981,NA,0,-0.001
oxalis,stricta,1,4,0.018,1982,NA,0,-0.001
oxalis,stricta,1,3,0.014,1984,NA,-0.003999999999999998,-0.001
oxalis,stricta,1,2,0.009,1987,NA,-0.005000000000000001,-0.001
oxalis,stricta,1,4,0.018,1995,NA,0.009,-0.001
oxalis,stricta,1,2,0.008,2005,NA,-0.009999999999999998,-0.001
oxalis,violacea,1,1,0.005,1979,NA,NA,-0
oxalis,violacea,1,2,0.009,1980,NA,0.003999999999999999,-0
oxalis,violacea,1,3,0.014,1981,NA,0.005000000000000001,-0
oxalis,violacea,1,1,0.005,1982,NA,-0.009000000000000001,-0
oxalis,violacea,1,1,0.005,1987,NA,0,-0
oxypolis,rigidior,1,2,0.009,1979,NA,NA,-0.001
oxypolis,rigidior,1,1,0.005,1980,NA,-0.003999999999999999,-0.001
oxypolis,rigidior,1,2,0.009,1981,NA,0.003999999999999999,-0.001
oxypolis,rigidior,1,1,0.005,1987,NA,-0.003999999999999999,-0.001
packera,aurea,1,15,0.068,1995,NA,NA,-0.023
packera,aurea,1,11,0.045,2005,NA,-0.023000000000000007,-0.023
packera,paupercula,1,7,0.032,1979,NA,NA,-0.003
packera,paupercula,1,8,0.036,1980,NA,0.003999999999999997,-0.003
packera,paupercula,1,11,0.05,1981,NA,0.014000000000000005,-0.003
packera,paupercula,1,9,0.041,1982,NA,-0.009000000000000001,-0.003
packera,paupercula,1,2,0.009,1984,NA,-0.032,-0.003
packera,paupercula,1,13,0.059,1987,NA,0.049999999999999996,-0.003
packera,paupercula,1,3,0.014,1995,NA,-0.045,-0.003
panicum,virgatum,1,15,0.068,1979,NA,NA,-0.007
panicum,virgatum,1,23,0.104,1980,NA,0.03599999999999999,-0.007
panicum,virgatum,1,29,0.131,1981,NA,0.02700000000000001,-0.007
panicum,virgatum,1,27,0.122,1982,NA,-0.009000000000000008,-0.007
panicum,virgatum,1,24,0.108,1984,NA,-0.013999999999999999,-0.007
panicum,virgatum,1,26,0.118,1987,NA,0.009999999999999995,-0.007
panicum,virgatum,1,16,0.072,1995,NA,-0.046,-0.007
panicum,virgatum,1,5,0.021,2005,NA,-0.05099999999999999,-0.007
parthenium,integrifolium,1,21,0.095,1979,NA,NA,-0.004
parthenium,integrifolium,1,23,0.104,1980,NA,0.008999999999999994,-0.004
parthenium,integrifolium,1,24,0.109,1981,NA,0.0050000000000000044,-0.004
parthenium,integrifolium,1,25,0.113,1982,NA,0.0040000000000000036,-0.004
parthenium,integrifolium,1,21,0.095,1984,NA,-0.018000000000000002,-0.004
parthenium,integrifolium,1,27,0.122,1987,NA,0.026999999999999996,-0.004
parthenium,integrifolium,1,24,0.109,1995,NA,-0.012999999999999998,-0.004
parthenium,integrifolium,1,17,0.07,2005,NA,-0.03899999999999999,-0.004
pedicularis,canadensis,1,7,0.032,1979,NA,NA,-0.002
pedicularis,canadensis,1,7,0.032,1980,NA,0,-0.002
pedicularis,canadensis,1,10,0.045,1981,NA,0.012999999999999998,-0.002
pedicularis,canadensis,1,7,0.032,1982,NA,-0.012999999999999998,-0.002
pedicularis,canadensis,1,5,0.023,1984,NA,-0.009000000000000001,-0.002
pedicularis,canadensis,1,9,0.041,1987,NA,0.018000000000000002,-0.002
pedicularis,canadensis,1,1,0.005,1995,NA,-0.036000000000000004,-0.002
pedicularis,canadensis,1,4,0.017,2005,NA,0.012,-0.002
persicaria,amphibia,1,8,0.036,1979,NA,NA,0.002
persicaria,amphibia,1,9,0.041,1980,NA,0.0050000000000000044,0.002
persicaria,amphibia,1,8,0.036,1981,NA,-0.0050000000000000044,0.002
persicaria,amphibia,1,10,0.045,1982,NA,0.009000000000000001,0.002
persicaria,amphibia,1,8,0.036,1984,NA,-0.009000000000000001,0.002
persicaria,amphibia,1,8,0.036,1987,NA,0,0.002
persicaria,amphibia,1,9,0.041,1995,NA,0.0050000000000000044,0.002
persicaria,amphibia,1,12,0.05,2005,NA,0.009000000000000001,0.002
persicaria,pensylvanica,1,4,0.018,1995,NA,NA,-0.006
persicaria,pensylvanica,1,3,0.012,2005,NA,-0.005999999999999998,-0.006
phlox,glaberrima ssp. interior,1,1,0.005,1980,NA,NA,0
phlox,glaberrima ssp. interior,1,1,0.005,1981,NA,0,0
phlox,glaberrima ssp. interior,1,1,0.005,1982,NA,0,0
phlox,glaberrima ssp. interior,1,1,0.005,1984,NA,0,0
phlox,pilosa ssp. fulgida,1,18,0.081,1979,NA,NA,-0.009
phlox,pilosa ssp. fulgida,1,19,0.086,1980,NA,0.0049999999999999906,-0.009
phlox,pilosa ssp. fulgida,1,22,0.1,1981,NA,0.014000000000000012,-0.009
phlox,pilosa ssp. fulgida,1,19,0.086,1982,NA,-0.014000000000000012,-0.009
phlox,pilosa ssp. fulgida,1,7,0.032,1984,NA,-0.05399999999999999,-0.009
phlox,pilosa ssp. fulgida,1,24,0.109,1987,NA,0.077,-0.009
phlox,pilosa ssp. fulgida,1,4,0.018,1995,NA,-0.091,-0.009
phlox,pilosa ssp. fulgida,1,4,0.017,2005,NA,-9.999999999999974e-4,-0.009
physalis,longifolia,1,1,0.005,1979,NA,NA,0
physalis,longifolia,1,3,0.014,1980,NA,0.009000000000000001,0
physalis,longifolia,1,4,0.018,1981,NA,0.003999999999999998,0
physalis,longifolia,1,4,0.018,1982,NA,0,0
physalis,longifolia,1,4,0.018,1984,NA,0,0
physalis,longifolia,1,5,0.023,1987,NA,0.005000000000000001,0
physalis,longifolia,1,1,0.005,1995,NA,-0.018,0
physalis,longifolia,1,2,0.008,2005,NA,0.003,0
plantago,rugelii,1,1,0.005,1995,NA,NA,NA
polygala,senega,1,2,0.009,1979,NA,NA,0
polygala,senega,1,2,0.009,1980,NA,0,0
polygala,senega,1,2,0.009,1981,NA,0,0
polygala,senega,1,2,0.009,1982,NA,0,0
polygonum,sp.,1,5,0.023,1979,NA,NA,-0.004
polygonum,sp.,1,4,0.018,1980,NA,-0.005000000000000001,-0.004
polygonum,sp.,1,5,0.023,1981,NA,0.005000000000000001,-0.004
polygonum,sp.,1,5,0.023,1982,NA,0,-0.004
polygonum,sp.,1,1,0.005,1987,NA,-0.018,-0.004
potentilla,norvegica,1,1,0.005,1982,NA,NA,-0
potentilla,norvegica,1,1,0.005,1995,NA,0,-0
potentilla,norvegica,1,1,0.004,2005,NA,-0.001,-0
potentilla,simplex,1,15,0.068,1979,NA,NA,-0.005
potentilla,simplex,1,20,0.09,1980,NA,0.021999999999999992,-0.005
potentilla,simplex,1,24,0.109,1981,NA,0.019000000000000003,-0.005
potentilla,simplex,1,23,0.104,1982,NA,-0.0050000000000000044,-0.005
potentilla,simplex,1,14,0.063,1984,NA,-0.040999999999999995,-0.005
potentilla,simplex,1,20,0.09,1987,NA,0.026999999999999996,-0.005
potentilla,simplex,1,7,0.032,1995,NA,-0.057999999999999996,-0.005
potentilla,simplex,1,8,0.033,2005,NA,0.0010000000000000009,-0.005
potentilla,sp.,1,3,0.014,1987,NA,NA,NA
prunella,vulgaris ssp. lanceolata,1,23,0.104,1995,NA,NA,-0.063
prunella,vulgaris ssp. lanceolata,1,10,0.041,2005,NA,-0.063,-0.063
psoralidium,tenuiflorum,1,1,0.005,1979,NA,NA,0
psoralidium,tenuiflorum,1,1,0.005,1980,NA,0,0
psoralidium,tenuiflorum,1,2,0.009,1981,NA,0.003999999999999999,0
psoralidium,tenuiflorum,1,1,0.005,1984,NA,-0.003999999999999999,0
psoralidium,tenuiflorum,1,1,0.005,1995,NA,0,0
pycnanthemum,virginianum,1,46,0.207,1979,NA,NA,0.002
pycnanthemum,virginianum,1,48,0.216,1980,NA,0.009000000000000008,0.002
pycnanthemum,virginianum,1,52,0.235,1981,NA,0.01899999999999999,0.002
pycnanthemum,virginianum,1,51,0.23,1982,NA,-0.004999999999999977,0.002
pycnanthemum,virginianum,1,51,0.23,1984,NA,0,0.002
pycnanthemum,virginianum,1,56,0.253,1987,NA,0.022999999999999993,0.002
pycnanthemum,virginianum,1,52,0.235,1995,NA,-0.018000000000000016,0.002
pycnanthemum,virginianum,1,53,0.219,2005,NA,-0.015999999999999986,0.002
ratibida,pinnata,1,77,0.347,1979,NA,NA,-0.014
ratibida,pinnata,1,88,0.396,1980,NA,0.049000000000000044,-0.014
ratibida,pinnata,1,91,0.412,1981,NA,0.01599999999999996,-0.014
ratibida,pinnata,1,85,0.383,1982,NA,-0.02899999999999997,-0.014
ratibida,pinnata,1,64,0.288,1984,NA,-0.09500000000000003,-0.014
ratibida,pinnata,1,95,0.43,1987,NA,0.14200000000000002,-0.014
ratibida,pinnata,1,58,0.262,1995,NA,-0.16799999999999998,-0.014
ratibida,pinnata,1,60,0.248,2005,NA,-0.014000000000000012,-0.014
rhus,hirta,1,1,0.005,1995,NA,NA,NA
rorippa,palustris,1,1,0.005,1980,NA,NA,-0
rorippa,palustris,1,1,0.005,1981,NA,0,-0
rorippa,palustris,1,1,0.005,1982,NA,0,-0
rorippa,palustris,1,1,0.005,1984,NA,0,-0
rorippa,palustris,1,3,0.014,1987,NA,0.009000000000000001,-0
rorippa,palustris,1,3,0.014,1995,NA,0,-0
rorippa,palustris,1,1,0.004,2005,NA,-0.01,-0
rosa,blanda,1,3,0.014,1995,NA,NA,NA
rosa,carolina,1,110,0.495,1979,NA,NA,0.028
rosa,carolina,1,117,0.527,1980,NA,0.03200000000000003,0.028
rosa,carolina,1,116,0.525,1981,NA,-0.0020000000000000018,0.028
rosa,carolina,1,117,0.527,1982,NA,0.0020000000000000018,0.028
rosa,carolina,1,147,0.662,1984,NA,0.135,0.028
rosa,carolina,1,148,0.67,1987,NA,0.008000000000000007,0.028
rosa,carolina,1,169,0.765,1995,NA,0.09499999999999997,0.028
rosa,carolina,1,167,0.69,2005,NA,-0.07500000000000007,0.028
rubus,flagellaris,1,2,0.009,1995,NA,NA,NA
rubus,occidentalis,1,2,0.009,1979,NA,NA,0.004
rubus,occidentalis,1,2,0.009,1980,NA,0,0.004
rubus,occidentalis,1,2,0.009,1981,NA,0,0.004
rubus,occidentalis,1,1,0.005,1982,NA,-0.003999999999999999,0.004
rubus,occidentalis,1,6,0.025,2005,NA,0.02,0.004
rubus,pensilvanicus,1,1,0.005,1995,NA,NA,NA
rubus,sp.,1,2,0.009,1982,NA,NA,0
rubus,sp.,1,3,0.014,1984,NA,0.005000000000000001,0
rubus,sp.,1,2,0.009,1987,NA,-0.005000000000000001,0
rudbeckia,hirta,1,22,0.099,1979,NA,NA,-0.007
rudbeckia,hirta,1,32,0.144,1980,NA,0.044999999999999984,-0.007
rudbeckia,hirta,1,38,0.172,1981,NA,0.027999999999999997,-0.007
rudbeckia,hirta,1,39,0.176,1982,NA,0.0040000000000000036,-0.007
rudbeckia,hirta,1,18,0.081,1984,NA,-0.09499999999999999,-0.007
rudbeckia,hirta,1,27,0.122,1987,NA,0.040999999999999995,-0.007
rudbeckia,hirta,1,30,0.136,1995,NA,0.014000000000000012,-0.007
rudbeckia,hirta,1,12,0.05,2005,NA,-0.08600000000000001,-0.007
rudbeckia,triloba,1,3,0.012,2005,NA,NA,NA
sambucus,nigra ssp. canadensis,1,1,0.005,1987,NA,NA,-0
sambucus,nigra ssp. canadensis,1,1,0.005,1995,NA,0,-0
sambucus,nigra ssp. canadensis,1,1,0.004,2005,NA,-0.001,-0
schizachyrium,scoparium,1,1,0.005,1980,NA,NA,0.01
schizachyrium,scoparium,1,1,0.005,1981,NA,0,0.01
schizachyrium,scoparium,1,3,0.014,1982,NA,0.009000000000000001,0.01
schizachyrium,scoparium,1,1,0.005,1984,NA,-0.009000000000000001,0.01
schizachyrium,scoparium,1,11,0.05,1987,NA,0.045000000000000005,0.01
schizachyrium,scoparium,1,12,0.054,1995,NA,0.003999999999999997,0.01
scirpus,cyperinus,1,1,0.005,1981,NA,NA,0
scirpus,cyperinus,1,1,0.005,1982,NA,0,0
scirpus,cyperinus,1,1,0.005,1987,NA,0,0
scirpus,pendulus,1,3,0.014,1979,NA,NA,-0.001
scirpus,pendulus,1,2,0.009,1980,NA,-0.005000000000000001,-0.001
scirpus,pendulus,1,3,0.014,1981,NA,0.005000000000000001,-0.001
scirpus,pendulus,1,4,0.018,1982,NA,0.003999999999999998,-0.001
scirpus,pendulus,1,4,0.018,1984,NA,0,-0.001
scirpus,pendulus,1,2,0.009,1987,NA,-0.009,-0.001
scutellaria,parvula,1,15,0.068,1979,NA,NA,-0.009
scutellaria,parvula,1,31,0.14,1980,NA,0.07200000000000001,-0.009
scutellaria,parvula,1,41,0.186,1981,NA,0.045999999999999985,-0.009
scutellaria,parvula,1,40,0.18,1982,NA,-0.006000000000000005,-0.009
scutellaria,parvula,1,39,0.176,1984,NA,-0.0040000000000000036,-0.009
scutellaria,parvula,1,44,0.199,1987,NA,0.02300000000000002,-0.009
scutellaria,parvula,1,7,0.032,1995,NA,-0.167,-0.009
scutellaria,parvula,1,2,0.008,2005,NA,-0.024,-0.009
scutellaria,sp.,1,1,0.005,1981,NA,NA,0
scutellaria,sp.,1,1,0.005,1987,NA,0,0
senecio,hieraciifolius,1,2,0.009,1987,NA,NA,-0.002
senecio,hieraciifolius,1,1,0.005,1995,NA,-0.003999999999999999,-0.002
senecio,hieraciifolius,1,1,0.004,2005,NA,-0.001,-0.002
silphium,integrifolium,1,21,0.095,1979,NA,NA,-0.004
silphium,integrifolium,1,21,0.095,1980,NA,0,-0.004
silphium,integrifolium,1,23,0.104,1981,NA,0.008999999999999994,-0.004
silphium,integrifolium,1,25,0.113,1982,NA,0.009000000000000008,-0.004
silphium,integrifolium,1,19,0.086,1984,NA,-0.02700000000000001,-0.004
silphium,integrifolium,1,27,0.122,1987,NA,0.036000000000000004,-0.004
silphium,integrifolium,1,25,0.113,1995,NA,-0.008999999999999994,-0.004
silphium,integrifolium,1,17,0.07,2005,NA,-0.043,-0.004
silphium,laciniatum,1,34,0.153,1979,NA,NA,0.012
silphium,laciniatum,1,40,0.18,1980,NA,0.026999999999999996,0.012
silphium,laciniatum,1,42,0.19,1981,NA,0.010000000000000009,0.012
silphium,laciniatum,1,41,0.185,1982,NA,-0.0050000000000000044,0.012
silphium,laciniatum,1,39,0.176,1984,NA,-0.009000000000000008,0.012
silphium,laciniatum,1,45,0.204,1987,NA,0.027999999999999997,0.012
silphium,laciniatum,1,53,0.24,1995,NA,0.036000000000000004,0.012
silphium,laciniatum,1,57,0.236,2005,NA,-0.0040000000000000036,0.012
silphium,terebinthinaceum,1,73,0.329,1979,NA,NA,-0.007
silphium,terebinthinaceum,1,77,0.347,1980,NA,0.01799999999999996,-0.007
silphium,terebinthinaceum,1,80,0.362,1981,NA,0.015000000000000013,-0.007
silphium,terebinthinaceum,1,78,0.351,1982,NA,-0.01100000000000001,-0.007
silphium,terebinthinaceum,1,72,0.324,1984,NA,-0.02699999999999997,-0.007
silphium,terebinthinaceum,1,90,0.407,1987,NA,0.08299999999999996,-0.007
silphium,terebinthinaceum,1,102,0.462,1995,NA,0.05500000000000005,-0.007
silphium,terebinthinaceum,1,68,0.281,2005,NA,-0.181,-0.007
sisyrinchium,albidum,1,7,0.032,1979,NA,NA,-0.002
sisyrinchium,albidum,1,6,0.027,1980,NA,-0.005000000000000001,-0.002
sisyrinchium,albidum,1,8,0.036,1981,NA,0.008999999999999998,-0.002
sisyrinchium,albidum,1,5,0.023,1982,NA,-0.012999999999999998,-0.002
sisyrinchium,albidum,1,3,0.014,1984,NA,-0.009,-0.002
sisyrinchium,albidum,1,6,0.027,1987,NA,0.013,-0.002
sisyrinchium,albidum,1,12,0.054,1995,NA,0.027,-0.002
