genus,species,native,n,fraction,year,plot
persicaria,amphibia,1,8,0.036,1984,NA
solidago,juncea,1,8,0.036,1984,NA
valeriana,edulis var. ciliata,1,8,0.036,1984,NA
veronicastrum,virginicum,1,8,0.036,1984,NA
agrostis,gigantea,0,8,0.036,1987,NA
amphicarpaea,bracteata,1,8,0.036,1987,NA
chenopodium,album,0,8,0.036,1987,NA
juncus,dudleyi,1,8,0.036,1987,NA
persicaria,amphibia,1,8,0.036,1987,NA
ambrosia,trifida,1,8,0.036,1995,NA
anemone,cylindrica,1,8,0.036,1995,NA
carex,tetanica,1,8,0.036,1995,NA
fraxinus,pennsylvanica,1,8,0.036,1995,NA
galium,aparine,1,8,0.036,1995,NA
gentiana,puberulenta,1,8,0.036,1995,NA
rhamnus,cathartica,0,8,0.036,1995,NA
anemone,cylindrica,1,8,0.033,2005,NA
daucus,carota,0,8,0.033,2005,NA
gentiana,puberulenta,1,8,0.033,2005,NA
lythrum,alatum,1,8,0.033,2005,NA
potentilla,simplex,1,8,0.033,2005,NA
cornus,racemosa,1,7,0.032,1979,NA
juncus,dudleyi,1,7,0.032,1979,NA
monarda,fistulosa,1,7,0.032,1979,NA
packera,paupercula,1,7,0.032,1979,NA
pedicularis,canadensis,1,7,0.032,1979,NA
sisyrinchium,albidum,1,7,0.032,1979,NA
cirsium,discolor,1,7,0.032,1980,NA
dichanthelium,acuminatum,1,7,0.032,1980,NA
hordeum,jubatum,0,7,0.032,1980,NA
pedicularis,canadensis,1,7,0.032,1980,NA
phleum,pratense,0,7,0.032,1980,NA
syringa,vulgaris,0,7,0.032,1980,NA
acer,negundo,1,7,0.032,1981,NA
cirsium,vulgare,0,7,0.032,1981,NA
dichanthelium,acuminatum,1,7,0.032,1981,NA
phalaris,arundinacea,0,7,0.032,1981,NA
solidago,nemoralis,1,7,0.032,1981,NA
stachys,tenuifolia,1,7,0.032,1981,NA
syringa,vulgaris,0,7,0.032,1981,NA
amphicarpaea,bracteata,1,7,0.032,1982,NA
geum,aleppicum,1,7,0.032,1982,NA
hypericum,punctatum,1,7,0.032,1982,NA
lobelia,spicata,1,7,0.032,1982,NA
pedicularis,canadensis,1,7,0.032,1982,NA
syringa,vulgaris,0,7,0.032,1982,NA
cirsium,vulgare,0,7,0.032,1984,NA
lythrum,alatum,1,7,0.032,1984,NA
phlox,pilosa ssp. fulgida,1,7,0.032,1984,NA
symphyotrichum,lanceolatum,1,7,0.032,1984,NA
cornus,racemosa,1,7,0.032,1987,NA
glechoma,hederacea,0,7,0.032,1987,NA
heserostipa,spartea,1,7,0.032,1987,NA
rhamnus,cathartica,0,7,0.032,1987,NA
ulmus,rubra,1,7,0.032,1987,NA
verbena,hastata,1,7,0.032,1987,NA
veronicastrum,virginicum,1,7,0.032,1987,NA
apios,americana,1,7,0.032,1995,NA
dalea,purpurea,1,7,0.032,1995,NA
potentilla,simplex,1,7,0.032,1995,NA
scutellaria,parvula,1,7,0.032,1995,NA
viola,pedatifida,1,7,0.032,1995,NA
asclepias,syriaca,1,6,0.027,1979,NA
cirsium,discolor,1,6,0.027,1979,NA
dichanthelium,acuminatum,1,6,0.027,1979,NA
eleocharis,palustris,1,6,0.027,1979,NA
geum,canadense,1,6,0.027,1979,NA
lactuca,canadensis,1,6,0.027,1979,NA
phleum,pratense,0,6,0.027,1979,NA
plantago,major,0,6,0.027,1979,NA
stachys,tenuifolia,1,6,0.027,1979,NA
syringa,vulgaris,0,6,0.027,1979,NA
eleocharis,palustris,1,6,0.027,1980,NA
lonicera,tatarica,0,6,0.027,1980,NA
plantago,major,0,6,0.027,1980,NA
sisyrinchium,albidum,1,6,0.027,1980,NA
solidago,nemoralis,1,6,0.027,1980,NA
stachys,tenuifolia,1,6,0.027,1980,NA
ulmus,rubra,1,6,0.027,1980,NA
eleocharis,palustris,1,6,0.027,1981,NA
lactuca,canadensis,1,6,0.027,1981,NA
lysimachia,ciliata,1,6,0.027,1981,NA
lythrum,alatum,1,6,0.027,1981,NA
plantago,major,0,6,0.027,1981,NA
viola,pedatifida,1,6,0.027,1981,NA
elymus,canadensis,1,6,0.027,1982,NA
lactuca,canadensis,1,6,0.027,1982,NA
stachys,tenuifolia,1,6,0.027,1982,NA
veronicastrum,virginicum,1,6,0.027,1982,NA
glechoma,hederacea,0,6,0.027,1984,NA
baptisia,alba var. macrophylla,1,6,0.027,1987,NA
elymus,canadensis,1,6,0.027,1987,NA
helianthus,pauciflorus,1,6,0.027,1987,NA
lysimachia,quadriflora,1,6,0.027,1987,NA
sisyrinchium,albidum,1,6,0.027,1987,NA
baptisia,bracteata,1,6,0.027,1995,NA
gentiana,andrewsii,1,6,0.027,1995,NA
juncus,balticus ssp. littoralis,1,6,0.027,1995,NA
cirsium,discolor,1,6,0.025,2005,NA
eupatorium,serotinum,1,6,0.025,2005,NA
glechoma,hederacea,0,6,0.025,2005,NA
oenothera,biennis,1,6,0.025,2005,NA
rubus,occidentalis,1,6,0.025,2005,NA
tradescantia,ohiensis,1,6,0.025,2005,NA
verbena,hastata,1,6,0.025,2005,NA
acer,negundo,1,5,0.023,1979,NA
antennaria,neglecta,1,5,0.023,1979,NA
phalaris,arundinacea,0,5,0.023,1979,NA
polygonum,sp.,1,5,0.023,1979,NA
antennaria,neglecta,1,5,0.023,1980,NA
elymus,canadensis,1,5,0.023,1980,NA
juncus,balticus ssp. littoralis,1,5,0.023,1980,NA
phalaris,arundinacea,0,5,0.023,1980,NA
valeriana,edulis var. ciliata,1,5,0.023,1980,NA
agropyron,sp.,0,5,0.023,1981,NA
amphicarpaea,bracteata,1,5,0.023,1981,NA
anemone,cylindrica,1,5,0.023,1981,NA
antennaria,neglecta,1,5,0.023,1981,NA
chenopodium,album,0,5,0.023,1981,NA
juncus,balticus ssp. littoralis,1,5,0.023,1981,NA
polygonum,sp.,1,5,0.023,1981,NA
rosa,multiflora,0,5,0.023,1981,NA
antennaria,neglecta,1,5,0.023,1982,NA
juncus,balticus ssp. littoralis,1,5,0.023,1982,NA
lythrum,alatum,1,5,0.023,1982,NA
phalaris,arundinacea,0,5,0.023,1982,NA
plantago,major,0,5,0.023,1982,NA
polygonum,sp.,1,5,0.023,1982,NA
sisyrinchium,albidum,1,5,0.023,1982,NA
viola,pedatifida,1,5,0.023,1982,NA
baptisia,alba var. macrophylla,1,5,0.023,1984,NA
calystegia,sepium,1,5,0.023,1984,NA
cornus,racemosa,1,5,0.023,1984,NA
gentiana,puberulenta,1,5,0.023,1984,NA
lysimachia,quadriflora,1,5,0.023,1984,NA
melilotus,officinalis,0,5,0.023,1984,NA
pedicularis,canadensis,1,5,0.023,1984,NA
phalaris,arundinacea,0,5,0.023,1984,NA
taraxacum,officinale,0,5,0.023,1984,NA
typha,latifolia,1,5,0.023,1984,NA
anemone,cylindrica,1,5,0.023,1987,NA
heuchera,richardsonii,1,5,0.023,1987,NA
lactuca,canadensis,1,5,0.023,1987,NA
lonicera,tatarica,0,5,0.023,1987,NA
physalis,longifolia,1,5,0.023,1987,NA
sorghastrum,nutans,1,5,0.023,1987,NA
carex,cristatella,1,5,0.023,1995,NA
cirsium,arvense,0,5,0.023,1995,NA
lactuca,serriola,0,5,0.023,1995,NA
liatris,pycnostachya,1,5,0.023,1995,NA
rumex,crispus,0,5,0.023,1995,NA
carex,buxbaumii,1,5,0.021,2005,NA
helianthus,pauciflorus,1,5,0.021,2005,NA
leucanthemum,vulgare,0,5,0.021,2005,NA
panicum,virgatum,1,5,0.021,2005,NA
sisyrinchium,albidum,1,5,0.021,2005,NA
agropyron,sp.,0,4,0.018,1979,NA
fraxinus,pennsylvanica,1,4,0.018,1979,NA
oxalis,stricta,1,4,0.018,1979,NA
solidago,juncea,1,4,0.018,1979,NA
trifolium,repens,0,4,0.018,1979,NA
acer,negundo,1,4,0.018,1980,NA
agropyron,sp.,0,4,0.018,1980,NA
amphicarpaea,bracteata,1,4,0.018,1980,NA
arnoglossum,plantagineum,1,4,0.018,1980,NA
hypericum,punctatum,1,4,0.018,1980,NA
leucanthemum,vulgare,0,4,0.018,1980,NA
lythrum,alatum,1,4,0.018,1980,NA
oxalis,stricta,1,4,0.018,1980,NA
polygonum,sp.,1,4,0.018,1980,NA
solidago,juncea,1,4,0.018,1980,NA
veronicastrum,virginicum,1,4,0.018,1980,NA
arnoglossum,plantagineum,1,4,0.018,1981,NA
glechoma,hederacea,0,4,0.018,1981,NA
hypericum,punctatum,1,4,0.018,1981,NA
lathyrus,palustris,1,4,0.018,1981,NA
moehringia,lateriflora,1,4,0.018,1981,NA
oxalis,stricta,1,4,0.018,1981,NA
physalis,longifolia,1,4,0.018,1981,NA
solidago,juncea,1,4,0.018,1981,NA
tragopogon,sp.,0,4,0.018,1981,NA
trifolium,repens,0,4,0.018,1981,NA
typha,latifolia,1,4,0.018,1981,NA
veronicastrum,virginicum,1,4,0.018,1981,NA
acer,negundo,1,4,0.018,1982,NA
euthamia,gymnospermoides,1,4,0.018,1982,NA
heuchera,richardsonii,1,4,0.018,1982,NA
lilium,michiganense,1,4,0.018,1982,NA
oxalis,stricta,1,4,0.018,1982,NA
physalis,longifolia,1,4,0.018,1982,NA
rosa,multiflora,0,4,0.018,1982,NA
scirpus,pendulus,1,4,0.018,1982,NA
solidago,juncea,1,4,0.018,1982,NA
tragopogon,sp.,0,4,0.018,1982,NA
ulmus,rubra,1,4,0.018,1982,NA
chenopodium,album,0,4,0.018,1984,NA
elymus,canadensis,1,4,0.018,1984,NA
fraxinus,pennsylvanica,1,4,0.018,1984,NA
helianthus,pauciflorus,1,4,0.018,1984,NA
hypericum,punctatum,1,4,0.018,1984,NA
lactuca,canadensis,1,4,0.018,1984,NA
physalis,longifolia,1,4,0.018,1984,NA
rumex,crispus,0,4,0.018,1984,NA
scirpus,pendulus,1,4,0.018,1984,NA
brickellia,eupatorioides var. corymbulosa,1,4,0.018,1987,NA
dichanthelium,acuminatum,1,4,0.018,1987,NA
euthamia,gymnospermoides,1,4,0.018,1987,NA
juncus,balticus ssp. littoralis,1,4,0.018,1987,NA
solidago,nemoralis,1,4,0.018,1987,NA
stachys,tenuifolia,1,4,0.018,1987,NA
bidens,frondosa,1,4,0.018,1995,NA
chenopodium,album,0,4,0.018,1995,NA
convolvulus,arvensis,0,4,0.018,1995,NA
euthamia,gymnospermoides,1,4,0.018,1995,NA
leucanthemum,vulgare,0,4,0.018,1995,NA
lythrum,alatum,1,4,0.018,1995,NA
oxalis,stricta,1,4,0.018,1995,NA
persicaria,pensylvanica,1,4,0.018,1995,NA
phlox,pilosa ssp. fulgida,1,4,0.018,1995,NA
solanum,dulcamara,0,4,0.018,1995,NA
bidens,aristosa,1,4,0.017,2005,NA
chenopodium,album,0,4,0.017,2005,NA
cirsium,arvense,0,4,0.017,2005,NA
dalea,purpurea,1,4,0.017,2005,NA
euthamia,gymnospermoides,1,4,0.017,2005,NA
hypericum,perforatum,0,4,0.017,2005,NA
lactuca,serriola,0,4,0.017,2005,NA
pedicularis,canadensis,1,4,0.017,2005,NA
phlox,pilosa ssp. fulgida,1,4,0.017,2005,NA
arnoglossum,plantagineum,1,3,0.014,1979,NA
baptisia,alba var. macrophylla,1,3,0.014,1979,NA
baptisia,bracteata,1,3,0.014,1979,NA
chenopodium,album,0,3,0.014,1979,NA
erigeron,annuus,1,3,0.014,1979,NA
euthamia,gymnospermoides,1,3,0.014,1979,NA
heuchera,richardsonii,1,3,0.014,1979,NA
juncus,balticus ssp. littoralis,1,3,0.014,1979,NA
koeleria,macrantha,1,3,0.014,1979,NA
lathyrus,palustris,1,3,0.014,1979,NA
lilium,michiganense,1,3,0.014,1979,NA
scirpus,pendulus,1,3,0.014,1979,NA
solidago,sp.,1,3,0.014,1979,NA
symphyotrichum,sp.,1,3,0.014,1979,NA
tragopogon,sp.,0,3,0.014,1979,NA
ulmus,rubra,1,3,0.014,1979,NA
valeriana,edulis var. ciliata,1,3,0.014,1979,NA
veronicastrum,virginicum,1,3,0.014,1979,NA
viola,pedatifida,1,3,0.014,1979,NA
acer,saccharinum,1,3,0.014,1980,NA
anemone,cylindrica,1,3,0.014,1980,NA
baptisia,alba var. macrophylla,1,3,0.014,1980,NA
baptisia,bracteata,1,3,0.014,1980,NA
chenopodium,album,0,3,0.014,1980,NA
dactylis,glomerata,0,3,0.014,1980,NA
erigeron,annuus,1,3,0.014,1980,NA
heuchera,richardsonii,1,3,0.014,1980,NA
koeleria,macrantha,1,3,0.014,1980,NA
physalis,longifolia,1,3,0.014,1980,NA
rosa,multiflora,0,3,0.014,1980,NA
tragopogon,sp.,0,3,0.014,1980,NA
trifolium,repens,0,3,0.014,1980,NA
viola,pedatifida,1,3,0.014,1980,NA
acer,saccharinum,1,3,0.014,1981,NA
baptisia,alba var. macrophylla,1,3,0.014,1981,NA
baptisia,bracteata,1,3,0.014,1981,NA
dactylis,glomerata,0,3,0.014,1981,NA
dalea,candida,1,3,0.014,1981,NA
erigeron,annuus,1,3,0.014,1981,NA
heuchera,richardsonii,1,3,0.014,1981,NA
koeleria,macrantha,1,3,0.014,1981,NA
leucanthemum,vulgare,0,3,0.014,1981,NA
lilium,michiganense,1,3,0.014,1981,NA
lythrum,salicaria,0,3,0.014,1981,NA
malus,sp.,0,3,0.014,1981,NA
oxalis,violacea,1,3,0.014,1981,NA
scirpus,pendulus,1,3,0.014,1981,NA
solidago,sp.,1,3,0.014,1981,NA
sphenopholis,obtusata,1,3,0.014,1981,NA
agropyron,sp.,0,3,0.014,1982,NA
anemone,cylindrica,1,3,0.014,1982,NA
arnoglossum,plantagineum,1,3,0.014,1982,NA
baptisia,bracteata,1,3,0.014,1982,NA
dactylis,glomerata,0,3,0.014,1982,NA
erigeron,annuus,1,3,0.014,1982,NA
schizachyrium,scoparium,1,3,0.014,1982,NA
solidago,gigantea,1,3,0.014,1982,NA
solidago,sp.,1,3,0.014,1982,NA
sorghastrum,nutans,1,3,0.014,1982,NA
trifolium,repens,0,3,0.014,1982,NA
typha,latifolia,1,3,0.014,1982,NA
anemone,cylindrica,1,3,0.014,1984,NA
eleocharis,palustris,1,3,0.014,1984,NA
euthamia,gymnospermoides,1,3,0.014,1984,NA
heuchera,richardsonii,1,3,0.014,1984,NA
juncus,balticus ssp. littoralis,1,3,0.014,1984,NA
lonicera,tatarica,0,3,0.014,1984,NA
oxalis,stricta,1,3,0.014,1984,NA
rubus,sp.,1,3,0.014,1984,NA
sisyrinchium,albidum,1,3,0.014,1984,NA
convolvulus,arvensis,0,3,0.014,1987,NA
eleocharis,sp.,1,3,0.014,1987,NA
moehringia,lateriflora,1,3,0.014,1987,NA
persicaria,maculosa,0,3,0.014,1987,NA
potentilla,sp.,1,3,0.014,1987,NA
rorippa,palustris,1,3,0.014,1987,NA
syringa,vulgaris,0,3,0.014,1987,NA
tragopogon,sp.,0,3,0.014,1987,NA
typha,latifolia,1,3,0.014,1987,NA
vicia,americana,1,3,0.014,1987,NA
barbarea,vulgaris,0,3,0.014,1995,NA
drymocallis,arguta,1,3,0.014,1995,NA
eleocharis,compressa,1,3,0.014,1995,NA
eleocharis,palustris,1,3,0.014,1995,NA
elymus,canadensis,1,3,0.014,1995,NA
fallopia,convolvulus,0,3,0.014,1995,NA
galium,tinctorium,1,3,0.014,1995,NA
glyceria,striata,1,3,0.014,1995,NA
helianthus,pauciflorus,1,3,0.014,1995,NA
lonicera,x bella,0,3,0.014,1995,NA
malus,toringa,0,3,0.014,1995,NA
packera,paupercula,1,3,0.014,1995,NA
phleum,pratense,0,3,0.014,1995,NA
rorippa,palustris,1,3,0.014,1995,NA
rosa,blanda,1,3,0.014,1995,NA
schedonorus,arundinaceus,0,3,0.014,1995,NA
solidago,nemoralis,1,3,0.014,1995,NA
ambrosia,trifida,1,3,0.012,2005,NA
dactylis,glomerata,0,3,0.012,2005,NA
drymocallis,arguta,1,3,0.012,2005,NA
erigeron,annuus,1,3,0.012,2005,NA
euthamia,graminifolia,1,3,0.012,2005,NA
geum,canadense,1,3,0.012,2005,NA
nepeta,cataria,0,3,0.012,2005,NA
persicaria,pensylvanica,1,3,0.012,2005,NA
rudbeckia,triloba,1,3,0.012,2005,NA
rumex,crispus,0,3,0.012,2005,NA
schedonorus,arundinaceus,0,3,0.012,2005,NA
amphicarpaea,bracteata,1,2,0.009,1979,NA
anemone,cylindrica,1,2,0.009,1979,NA
coreopsis,tripteris,1,2,0.009,1979,NA
dalea,candida,1,2,0.009,1979,NA
gentiana,andrewsii,1,2,0.009,1979,NA
geum,aleppicum,1,2,0.009,1979,NA
hypericum,punctatum,1,2,0.009,1979,NA
krigia,biflora,1,2,0.009,1979,NA
lythrum,alatum,1,2,0.009,1979,NA
lythrum,salicaria,0,2,0.009,1979,NA
malus,sp.,0,2,0.009,1979,NA
oxypolis,rigidior,1,2,0.009,1979,NA
polygala,senega,1,2,0.009,1979,NA
rosa,multiflora,0,2,0.009,1979,NA
rubus,occidentalis,1,2,0.009,1979,NA
solidago,gigantea,1,2,0.009,1979,NA
typha,latifolia,1,2,0.009,1979,NA
coreopsis,tripteris,1,2,0.009,1980,NA
dalea,candida,1,2,0.009,1980,NA
eupatorium,altissimum,1,2,0.009,1980,NA
euthamia,gymnospermoides,1,2,0.009,1980,NA
gentiana,andrewsii,1,2,0.009,1980,NA
geum,aleppicum,1,2,0.009,1980,NA
glechoma,hederacea,0,2,0.009,1980,NA
lactuca,canadensis,1,2,0.009,1980,NA
lathyrus,palustris,1,2,0.009,1980,NA
lilium,michiganense,1,2,0.009,1980,NA
lysimachia,ciliata,1,2,0.009,1980,NA
lythrum,salicaria,0,2,0.009,1980,NA
malus,sp.,0,2,0.009,1980,NA
nabalus,asperus,1,2,0.009,1980,NA
oxalis,violacea,1,2,0.009,1980,NA
polygala,senega,1,2,0.009,1980,NA
rubus,occidentalis,1,2,0.009,1980,NA
scirpus,pendulus,1,2,0.009,1980,NA
solidago,gigantea,1,2,0.009,1980,NA
solidago,sp.,1,2,0.009,1980,NA
typha,latifolia,1,2,0.009,1980,NA
ulmus,pumila,0,2,0.009,1980,NA
asclepias,verticillata,1,2,0.009,1981,NA
coreopsis,tripteris,1,2,0.009,1981,NA
erigeron,philadelphicus,1,2,0.009,1981,NA
eupatorium,altissimum,1,2,0.009,1981,NA
euthamia,gymnospermoides,1,2,0.009,1981,NA
gentiana,andrewsii,1,2,0.009,1981,NA
geum,aleppicum,1,2,0.009,1981,NA
krigia,biflora,1,2,0.009,1981,NA
lespedeza,capitata,1,2,0.009,1981,NA
liatris,spicata,1,2,0.009,1981,NA
oxypolis,rigidior,1,2,0.009,1981,NA
polygala,senega,1,2,0.009,1981,NA
psoralidium,tenuiflorum,1,2,0.009,1981,NA
rubus,occidentalis,1,2,0.009,1981,NA
solidago,gigantea,1,2,0.009,1981,NA
ulmus,pumila,0,2,0.009,1981,NA
acer,saccharinum,1,2,0.009,1982,NA
asclepias,verticillata,1,2,0.009,1982,NA
baptisia,alba var. macrophylla,1,2,0.009,1982,NA
brickellia,eupatorioides var. corymbulosa,1,2,0.009,1982,NA
coreopsis,tripteris,1,2,0.009,1982,NA
dalea,candida,1,2,0.009,1982,NA
fallopia,convolvulus,0,2,0.009,1982,NA
gentiana,andrewsii,1,2,0.009,1982,NA
glechoma,hederacea,0,2,0.009,1982,NA
koeleria,macrantha,1,2,0.009,1982,NA
krigia,biflora,1,2,0.009,1982,NA
lathyrus,palustris,1,2,0.009,1982,NA
leucanthemum,vulgare,0,2,0.009,1982,NA
liatris,spicata,1,2,0.009,1982,NA
lysimachia,ciliata,1,2,0.009,1982,NA
lythrum,salicaria,0,2,0.009,1982,NA
malus,sp.,0,2,0.009,1982,NA
melilotus,sp.,0,2,0.009,1982,NA
polygala,senega,1,2,0.009,1982,NA
rubus,sp.,1,2,0.009,1982,NA
solidago,nemoralis,1,2,0.009,1982,NA
sonchus,arvensis,0,2,0.009,1982,NA
symphyotrichum,lanceolatum,1,2,0.009,1982,NA
symphyotrichum,sp.,1,2,0.009,1982,NA
ulmus,pumila,0,2,0.009,1982,NA
verbena,hastata,1,2,0.009,1982,NA
acer,negundo,1,2,0.009,1984,NA
brickellia,eupatorioides var. corymbulosa,1,2,0.009,1984,NA
dichanthelium,acuminatum,1,2,0.009,1984,NA
drymocallis,arguta,1,2,0.009,1984,NA
leucanthemum,vulgare,0,2,0.009,1984,NA
lilium,michiganense,1,2,0.009,1984,NA
lobelia,spicata,1,2,0.009,1984,NA
packera,paupercula,1,2,0.009,1984,NA
plantago,major,0,2,0.009,1984,NA
stachys,tenuifolia,1,2,0.009,1984,NA
tragopogon,sp.,0,2,0.009,1984,NA
trifolium,repens,0,2,0.009,1984,NA
ulmus,pumila,0,2,0.009,1984,NA
ulmus,rubra,1,2,0.009,1984,NA
verbena,hastata,1,2,0.009,1984,NA
acer,saccharinum,1,2,0.009,1987,NA
baptisia,bracteata,1,2,0.009,1987,NA
dactylis,glomerata,0,2,0.009,1987,NA
drymocallis,arguta,1,2,0.009,1987,NA
lobelia,spicata,1,2,0.009,1987,NA
lythrum,salicaria,0,2,0.009,1987,NA
malus,sp.,0,2,0.009,1987,NA
melilotus,officinalis,0,2,0.009,1987,NA
oxalis,stricta,1,2,0.009,1987,NA
phleum,pratense,0,2,0.009,1987,NA
rubus,sp.,1,2,0.009,1987,NA
rumex,crispus,0,2,0.009,1987,NA
scirpus,pendulus,1,2,0.009,1987,NA
senecio,hieraciifolius,1,2,0.009,1987,NA
solidago,sp.,1,2,0.009,1987,NA
acer,saccharinum,1,2,0.009,1995,NA
agrostis,gigantea,0,2,0.009,1995,NA
antennaria,neglecta,1,2,0.009,1995,NA
eupatorium,serotinum,1,2,0.009,1995,NA
hypericum,perforatum,0,2,0.009,1995,NA
lysimachia,quadriflora,1,2,0.009,1995,NA
medicago,lupulina,0,2,0.009,1995,NA
moehringia,lateriflora,1,2,0.009,1995,NA
rubus,flagellaris,1,2,0.009,1995,NA
vitis,riparia,1,2,0.009,1995,NA
antennaria,neglecta,1,2,0.008,2005,NA
convolvulus,arvensis,0,2,0.008,2005,NA
echinacea,pallida,1,2,0.008,2005,NA
eleocharis,compressa,1,2,0.008,2005,NA
glyceria,striata,1,2,0.008,2005,NA
juncus,balticus ssp. littoralis,1,2,0.008,2005,NA
oxalis,stricta,1,2,0.008,2005,NA
physalis,longifolia,1,2,0.008,2005,NA
scutellaria,parvula,1,2,0.008,2005,NA
solidago,riddellii,1,2,0.008,2005,NA
syringa,vulgaris,0,2,0.008,2005,NA
verbascum,thapsus,0,2,0.008,2005,NA
viola,pedatifida,1,2,0.008,2005,NA
acer,saccharinum,1,1,0.005,1979,NA
asclepias,verticillata,1,1,0.005,1979,NA
dactylis,glomerata,0,1,0.005,1979,NA
drymocallis,arguta,1,1,0.005,1979,NA
eupatorium,altissimum,1,1,0.005,1979,NA
glechoma,hederacea,0,1,0.005,1979,NA
juncus,sp.,1,1,0.005,1979,NA
juncus,torreyi,1,1,0.005,1979,NA
leucanthemum,vulgare,0,1,0.005,1979,NA
moehringia,lateriflora,1,1,0.005,1979,NA
oenothera,perennis,1,1,0.005,1979,NA
oxalis,violacea,1,1,0.005,1979,NA
physalis,longifolia,1,1,0.005,1979,NA
psoralidium,tenuiflorum,1,1,0.005,1979,NA
securigera,varia,0,1,0.005,1979,NA
sonchus,arvensis,0,1,0.005,1979,NA
sphenopholis,obtusata,1,1,0.005,1979,NA
trifolium,pratense,0,1,0.005,1979,NA
ulmus,pumila,0,1,0.005,1979,NA
verbena,hastata,1,1,0.005,1979,NA
vinca,minor,0,1,0.005,1979,NA
vitis,riparia,1,1,0.005,1979,NA
asclepias,verticillata,1,1,0.005,1980,NA
dodecatheon,meadia,1,1,0.005,1980,NA
drymocallis,arguta,1,1,0.005,1980,NA
glyceria,striata,1,1,0.005,1980,NA
juncus,sp.,1,1,0.005,1980,NA
juncus,torreyi,1,1,0.005,1980,NA
krigia,biflora,1,1,0.005,1980,NA
liatris,spicata,1,1,0.005,1980,NA
moehringia,lateriflora,1,1,0.005,1980,NA
nabalus,sp.,1,1,0.005,1980,NA
oxypolis,rigidior,1,1,0.005,1980,NA
phlox,glaberrima ssp. interior,1,1,0.005,1980,NA
psoralidium,tenuiflorum,1,1,0.005,1980,NA
rorippa,palustris,1,1,0.005,1980,NA
schizachyrium,scoparium,1,1,0.005,1980,NA
sonchus,arvensis,0,1,0.005,1980,NA
sphenopholis,obtusata,1,1,0.005,1980,NA
sporobolus,cryptandrus,1,1,0.005,1980,NA
symphyotrichum,sp.,1,1,0.005,1980,NA
tragopogon,pratensis,0,1,0.005,1980,NA
trifolium,pratense,0,1,0.005,1980,NA
vitis,riparia,1,1,0.005,1980,NA
dodecatheon,meadia,1,1,0.005,1981,NA
drymocallis,arguta,1,1,0.005,1981,NA
eutrochium,maculatum,1,1,0.005,1981,NA
glyceria,striata,1,1,0.005,1981,NA
juncus,sp.,1,1,0.005,1981,NA
juncus,torreyi,1,1,0.005,1981,NA
lepidium,campestre,0,1,0.005,1981,NA
nabalus,sp.,1,1,0.005,1981,NA
oenothera,perennis,1,1,0.005,1981,NA
persicaria,maculosa,0,1,0.005,1981,NA
phlox,glaberrima ssp. interior,1,1,0.005,1981,NA
rorippa,palustris,1,1,0.005,1981,NA
schizachyrium,scoparium,1,1,0.005,1981,NA
scirpus,cyperinus,1,1,0.005,1981,NA
scutellaria,sp.,1,1,0.005,1981,NA
securigera,varia,0,1,0.005,1981,NA
sonchus,arvensis,0,1,0.005,1981,NA
sporobolus,cryptandrus,1,1,0.005,1981,NA
symphyotrichum,sp.,1,1,0.005,1981,NA
tragopogon,pratensis,0,1,0.005,1981,NA
trifolium,pratense,0,1,0.005,1981,NA
verbena,hastata,1,1,0.005,1981,NA
vinca,minor,0,1,0.005,1981,NA
vitis,riparia,1,1,0.005,1981,NA
cichorium,intybus,0,1,0.005,1982,NA
drymocallis,arguta,1,1,0.005,1982,NA
eupatorium,altissimum,1,1,0.005,1982,NA
glyceria,striata,1,1,0.005,1982,NA
juncus,sp.,1,1,0.005,1982,NA
juncus,torreyi,1,1,0.005,1982,NA
lilium,philadelphicum var. andinum,1,1,0.005,1982,NA
moehringia,lateriflora,1,1,0.005,1982,NA
nabalus,sp.,1,1,0.005,1982,NA
oenothera,perennis,1,1,0.005,1982,NA
oxalis,violacea,1,1,0.005,1982,NA
phlox,glaberrima ssp. interior,1,1,0.005,1982,NA
potentilla,norvegica,1,1,0.005,1982,NA
rorippa,palustris,1,1,0.005,1982,NA
rubus,occidentalis,1,1,0.005,1982,NA
scirpus,cyperinus,1,1,0.005,1982,NA
securigera,varia,0,1,0.005,1982,NA
sphenopholis,obtusata,1,1,0.005,1982,NA
sporobolus,cryptandrus,1,1,0.005,1982,NA
symphyotrichum,oolentangiense,1,1,0.005,1982,NA
tragopogon,pratensis,0,1,0.005,1982,NA
trifolium,pratense,0,1,0.005,1982,NA
vinca,minor,0,1,0.005,1982,NA
vitis,riparia,1,1,0.005,1982,NA
arnoglossum,plantagineum,1,1,0.005,1984,NA
asclepias,verticillata,1,1,0.005,1984,NA
coreopsis,tripteris,1,1,0.005,1984,NA
dactylis,glomerata,0,1,0.005,1984,NA
elymus,trachycaulus ssp. subsecundus,1,1,0.005,1984,NA
geum,aleppicum,1,1,0.005,1984,NA
hemerocallis,fulva,0,1,0.005,1984,NA
hordeum,jubatum,0,1,0.005,1984,NA
lathyrus,palustris,1,1,0.005,1984,NA
liatris,sp.,1,1,0.005,1984,NA
persicaria,maculosa,0,1,0.005,1984,NA
phleum,pratense,0,1,0.005,1984,NA
phlox,glaberrima ssp. interior,1,1,0.005,1984,NA
psoralidium,tenuiflorum,1,1,0.005,1984,NA
rorippa,palustris,1,1,0.005,1984,NA
rosa,multiflora,0,1,0.005,1984,NA
