"chamber","ecosystem_name","ecosystem_block","rep","gas","estimate","p.value","average_temp_kelvin","total_vol_m3","flux","units","date","plot","soil_moist_percent","osoil_moist_percent","plant_biomass_g","plant_cover_percent","soil_temp_c","term","std.error","statistic","season"
"130","SW 2-4","SW",2,4,"N2O",-0.00055734,0.626327931,300.25,0.008538549,-0.244050702,"mugn-n2o_m2_d",2022-08-12,"SW_2",8.3,16.8,NA,55,21.6,NA,NA,NA,NA
"131","UP 1-1","UP",1,1,"N2O",0.004350358,0.258320081,299.8,0.009171934,2.049334949,"mugn-n2o_m2_d",2022-08-12,"UP_1",17.3,21.7,NA,10,21,NA,NA,NA,NA
"132","UP 1-2","UP",1,2,"N2O",0.00086,0.6026342,299.55,0.009551964,0.422260633,"mugn-n2o_m2_d",2022-08-12,"UP_1",20.6,16.5,NA,15,21.1,NA,NA,NA,NA
"133","UP 1-3","UP",1,3,"N2O",-0.001784446,0.086377222,299.35,0.007968503,-0.731407892,"mugn-n2o_m2_d",2022-08-12,"UP_1",18.7,20.6,NA,5,20.9,NA,NA,NA,NA
"134","UP 1-4","UP",1,4,"N2O",2.97e-05,0.984878331,299.8,0.007905165,0.012078141,"mugn-n2o_m2_d",2022-08-12,"UP_1",16.9,14.1,NA,15,20.6,NA,NA,NA,NA
"135","UP 2-1","UP",2,1,"N2O",-0.00023709,0.828287423,299.85,0.00891858,-0.108583664,"mugn-n2o_m2_d",2022-08-12,"UP_2",25.1,15.5,NA,10,20.6,NA,NA,NA,NA
"136","UP 2-2","UP",2,2,"N2O",0.002108738,0.09363009,299.4,0.006765073,0.73367221,"mugn-n2o_m2_d",2022-08-12,"UP_2",21.7,13.4,NA,NA,22.1,NA,NA,NA,NA
"137","UP 2-3","UP",2,3,"N2O",-5.29e-05,0.940384557,299.25,0.008981918,-0.024432073,"mugn-n2o_m2_d",2022-08-12,"UP_2",35.4,17.9,NA,NA,22.1,NA,NA,NA,NA
"138","UP 2-4","UP",2,4,"N2O",0.002244864,0.360906336,299.55,0.008475211,0.977979962,"mugn-n2o_m2_d",2022-08-12,"UP_2",25.4,12.6,NA,10,21.5,NA,NA,NA,NA
"139","SW 1-1","SW",1,1,"CO2",32.00251807,5.54e-05,305.7,0.006385043,2.808492512,"mgc-co2_m2_d",2022-09-02,"SW_1",43.2,47.9,41.09,20,20.6,NA,NA,NA,"Fall"
"140","SW 1-2","SW",1,2,"CO2",23.53036954,0.020770383,306.5,0.007651811,2.468216405,"mgc-co2_m2_d",2022-09-02,"SW_1",41.9,45.5,41.09,10,20.5,NA,NA,NA,"Fall"
"141","SW 1-3","SW",1,3,"CO2",25.54200871,0.014678565,305.15,0.006955088,2.446048337,"mgc-co2_m2_d",2022-09-02,"SW_1",40.5,51.4,41.09,10,20.3,NA,NA,NA,"Fall"
"142","SW 1-4","SW",1,4,"CO2",17.27097748,0.036989426,305.15,0.01012201,2.407082841,"mgc-co2_m2_d",2022-09-02,"SW_1",39.9,43.5,41.09,10,20.5,NA,NA,NA,"Fall"
"143","SW 2-1","SW",2,1,"CO2",15.35226386,0.37158124,305.6,0.007588473,1.601748038,"mgc-co2_m2_d",2022-09-02,"SW_2",19.4,32.8,64.21,40,21.4,NA,NA,NA,"Fall"
"144","SW 2-2","SW",2,2,"CO2",29.22759441,0.000126357,308.6,0.007145104,2.843324558,"mgc-co2_m2_d",2022-09-02,"SW_2",15.2,44.6,64.21,3,21.2,NA,NA,NA,"Fall"
"145","SW 2-3","SW",2,3,"CO2",33.40617846,0.072160957,305.3,0.007081765,3.255833856,"mgc-co2_m2_d",2022-09-02,"SW_2",31.2,31.7,64.21,3,21.4,NA,NA,NA,"Fall"
"146","SW 2-4","SW",2,4,"CO2",29.70483966,0.000376065,305.05,0.008538549,3.493501945,"mgc-co2_m2_d",2022-09-02,"SW_2",6.4,25,64.21,60,21.2,NA,NA,NA,"Fall"
"147","UP 1-1","UP",1,1,"CO2",24.87051204,0.03823402,306.45,0.009171934,3.127567945,"mgc-co2_m2_d",2022-09-02,"UP_1",21.6,31.6,53.12,5,21.8,NA,NA,NA,"Fall"
"148","UP 1-2","UP",1,2,"CO2",17.65928237,7.86e-05,306,0.009551964,2.316141204,"mgc-co2_m2_d",2022-09-02,"UP_1",18.5,29.9,53.12,10,22.3,NA,NA,NA,"Fall"
"149","UP 1-3","UP",1,3,"CO2",48.97184201,2.12e-05,305.55,0.007968503,5.36613536,"mgc-co2_m2_d",2022-09-02,"UP_1",19.5,34.1,53.12,5,22,NA,NA,NA,"Fall"
"150","UP 1-4","UP",1,4,"CO2",24.30055883,0.000666868,305.75,0.007905165,2.639863466,"mgc-co2_m2_d",2022-09-02,"UP_1",23.3,32.4,53.12,5,21.4,NA,NA,NA,"Fall"
"151","UP 2-1","UP",2,1,"CO2",17.98315023,8.38e-05,306.3,0.00891858,2.200063516,"mgc-co2_m2_d",2022-09-02,"UP_2",24.6,30.5,88.47,5,22.4,NA,NA,NA,"Fall"
"152","UP 2-2","UP",2,2,"CO2",19.48964405,0.00118592,306.25,0.006765073,1.808926948,"mgc-co2_m2_d",2022-09-02,"UP_2",35.2,27.8,88.47,NA,23.1,NA,NA,NA,"Fall"
"153","UP 2-3","UP",2,3,"CO2",13.30317588,0.088627414,305.2,0.008981918,1.644979995,"mgc-co2_m2_d",2022-09-02,"UP_2",39.1,29,88.47,NA,22.9,NA,NA,NA,"Fall"
"154","UP 2-4","UP",2,4,"CO2",NA,NA,305.75,0.008475211,NA,"mgc-co2_m2_d",2022-09-02,"UP_2",27.5,20.8,88.47,10,22.8,NA,NA,NA,"Fall"
"155","SW 1-1","SW",1,1,"CH4",-0.009902543,0.089604889,305.7,0.006385043,-0.8690322,"mugc-ch4_m2_d",2022-09-02,"SW_1",43.2,47.9,41.09,20,20.6,NA,NA,NA,"Fall"
"156","SW 1-2","SW",1,2,"CH4",0.041601298,0.302656101,306.5,0.007651811,4.3637651,"mugc-ch4_m2_d",2022-09-02,"SW_1",41.9,45.5,41.09,10,20.5,NA,NA,NA,"Fall"
"157","SW 1-3","SW",1,3,"CH4",-0.007923032,0.144950531,305.15,0.006955088,-0.758754726,"mugc-ch4_m2_d",2022-09-02,"SW_1",40.5,51.4,41.09,10,20.3,NA,NA,NA,"Fall"
"158","SW 1-4","SW",1,4,"CH4",-0.002625579,0.623282376,305.15,0.01012201,-0.365930948,"mugc-ch4_m2_d",2022-09-02,"SW_1",39.9,43.5,41.09,10,20.5,NA,NA,NA,"Fall"
"159","SW 2-1","SW",2,1,"CH4",-0.081480588,0.006246033,305.6,0.007588473,-8.501115777,"mugc-ch4_m2_d",2022-09-02,"SW_2",19.4,32.8,64.21,40,21.4,NA,NA,NA,"Fall"
"160","SW 2-2","SW",2,2,"CH4",-0.006223835,0.002504022,308.6,0.007145104,-0.60546835,"mugc-ch4_m2_d",2022-09-02,"SW_2",15.2,44.6,64.21,3,21.2,NA,NA,NA,"Fall"
"161","SW 2-3","SW",2,3,"CH4",0.028553787,0.155722774,305.3,0.007081765,2.782909946,"mugc-ch4_m2_d",2022-09-02,"SW_2",31.2,31.7,64.21,3,21.4,NA,NA,NA,"Fall"
"162","SW 2-4","SW",2,4,"CH4",-0.006533028,0.033272847,305.05,0.008538549,-0.76833089,"mugc-ch4_m2_d",2022-09-02,"SW_2",6.4,25,64.21,60,21.2,NA,NA,NA,"Fall"
"163","UP 1-1","UP",1,1,"CH4",-0.023770072,0.052762406,306.45,0.009171934,-2.989183163,"mugc-ch4_m2_d",2022-09-02,"UP_1",21.6,31.6,53.12,5,21.8,NA,NA,NA,"Fall"
"164","UP 1-2","UP",1,2,"CH4",-0.00701322,0.001786857,306,0.009551964,-0.919833941,"mugc-ch4_m2_d",2022-09-02,"UP_1",18.5,29.9,53.12,10,22.3,NA,NA,NA,"Fall"
"165","UP 1-3","UP",1,3,"CH4",-0.011355674,0.000543243,305.55,0.007968503,-1.244308553,"mugc-ch4_m2_d",2022-09-02,"UP_1",19.5,34.1,53.12,5,22,NA,NA,NA,"Fall"
"166","UP 1-4","UP",1,4,"CH4",-0.004749132,0.127875261,305.75,0.007905165,-0.515916586,"mugc-ch4_m2_d",2022-09-02,"UP_1",23.3,32.4,53.12,5,21.4,NA,NA,NA,"Fall"
"167","UP 2-1","UP",2,1,"CH4",-0.010236569,0.009806072,306.3,0.00891858,-1.252344621,"mugc-ch4_m2_d",2022-09-02,"UP_2",24.6,30.5,88.47,5,22.4,NA,NA,NA,"Fall"
"168","UP 2-2","UP",2,2,"CH4",-0.006068517,0.002470598,306.25,0.006765073,-0.563248067,"mugc-ch4_m2_d",2022-09-02,"UP_2",35.2,27.8,88.47,NA,23.1,NA,NA,NA,"Fall"
"169","UP 2-3","UP",2,3,"CH4",-0.004301692,0.333333333,305.2,0.008981918,-0.531917893,"mugc-ch4_m2_d",2022-09-02,"UP_2",39.1,29,88.47,NA,22.9,NA,NA,NA,"Fall"
"170","UP 2-4","UP",2,4,"CH4",-0.163464296,NA,305.75,0.008475211,-19.03827927,"mugc-ch4_m2_d",2022-09-02,"UP_2",27.5,20.8,88.47,10,22.8,NA,NA,NA,"Fall"
"171","SW 1-1","SW",1,1,"N2O",-0.000847238,0.455677732,305.7,0.006385043,-0.272478764,"mugn-n2o_m2_d",2022-09-02,"SW_1",43.2,47.9,41.09,20,20.6,NA,NA,NA,"Fall"
"172","SW 1-2","SW",1,2,"N2O",0.009235957,0.219117907,306.5,0.007651811,3.550375946,"mugn-n2o_m2_d",2022-09-02,"SW_1",41.9,45.5,41.09,10,20.5,NA,NA,NA,"Fall"
"173","SW 1-3","SW",1,3,"N2O",0.000182891,0.846610393,305.15,0.006955088,0.064185837,"mugn-n2o_m2_d",2022-09-02,"SW_1",40.5,51.4,41.09,10,20.3,NA,NA,NA,"Fall"
"174","SW 1-4","SW",1,4,"N2O",0.000493871,0.818975205,305.15,0.01012201,0.252246764,"mugn-n2o_m2_d",2022-09-02,"SW_1",39.9,43.5,41.09,10,20.5,NA,NA,NA,"Fall"
"175","SW 2-1","SW",2,1,"N2O",-0.011323913,0.023233799,305.6,0.007588473,-4.329684515,"mugn-n2o_m2_d",2022-09-02,"SW_2",19.4,32.8,64.21,40,21.4,NA,NA,NA,"Fall"
"176","SW 2-2","SW",2,2,"N2O",3.22e-05,0.969459216,308.6,0.007145104,0.011465644,"mugn-n2o_m2_d",2022-09-02,"SW_2",15.2,44.6,64.21,3,21.2,NA,NA,NA,"Fall"
"177","SW 2-3","SW",2,3,"N2O",0.006775319,0.185263889,305.3,0.007081765,2.419931961,"mugn-n2o_m2_d",2022-09-02,"SW_2",31.2,31.7,64.21,3,21.4,NA,NA,NA,"Fall"
"178","SW 2-4","SW",2,4,"N2O",-0.000508848,0.693661644,305.05,0.008538549,-0.219310682,"mugn-n2o_m2_d",2022-09-02,"SW_2",6.4,25,64.21,60,21.2,NA,NA,NA,"Fall"
"179","UP 1-1","UP",1,1,"N2O",-0.002212744,0.283550593,306.45,0.009171934,-1.019744112,"mugn-n2o_m2_d",2022-09-02,"UP_1",21.6,31.6,53.12,5,21.8,NA,NA,NA,"Fall"
"180","UP 1-2","UP",1,2,"N2O",-0.000328175,0.231358887,306,0.009551964,-0.157737546,"mugn-n2o_m2_d",2022-09-02,"UP_1",18.5,29.9,53.12,10,22.3,NA,NA,NA,"Fall"
"181","UP 1-3","UP",1,3,"N2O",0.000414545,0.355062859,305.55,0.007968503,0.166465641,"mugn-n2o_m2_d",2022-09-02,"UP_1",19.5,34.1,53.12,5,22,NA,NA,NA,"Fall"
"182","UP 1-4","UP",1,4,"N2O",0.001651382,0.101846813,305.75,0.007905165,0.657431629,"mugn-n2o_m2_d",2022-09-02,"UP_1",23.3,32.4,53.12,5,21.4,NA,NA,NA,"Fall"
"183","UP 2-1","UP",2,1,"N2O",-0.000248295,0.784053187,306.3,0.00891858,-0.11132034,"mugn-n2o_m2_d",2022-09-02,"UP_2",24.6,30.5,88.47,5,22.4,NA,NA,NA,"Fall"
"184","UP 2-2","UP",2,2,"N2O",-0.000162933,0.776307026,306.25,0.006765073,-0.055419833,"mugn-n2o_m2_d",2022-09-02,"UP_2",35.2,27.8,88.47,NA,23.1,NA,NA,NA,"Fall"
"185","UP 2-3","UP",2,3,"N2O",0.001513975,0.070845306,305.2,0.008981918,0.686059998,"mugn-n2o_m2_d",2022-09-02,"UP_2",39.1,29,88.47,NA,22.9,NA,NA,NA,"Fall"
"186","UP 2-4","UP",2,4,"N2O",-0.028887629,NA,305.75,0.008475211,-12.32976076,"mugn-n2o_m2_d",2022-09-02,"UP_2",27.5,20.8,88.47,10,22.8,NA,NA,NA,"Fall"
"187","SW 1-1","SW",1,1,"CO2",22.97646118,0.004864546,302.75,0.006385043,2.036027059,"mgc-co2_m2_d",2022-09-16,"SW_1",43.1,47.5,44.56,30,19.3,NA,NA,NA,"Fall"
"188","SW 1-2","SW",1,2,"CO2",16.60322045,0.000593577,302.65,0.007651811,1.763748355,"mgc-co2_m2_d",2022-09-16,"SW_1",46.5,45.7,44.56,20,18.9,NA,NA,NA,"Fall"
"189","SW 1-3","SW",1,3,"CO2",14.59021348,0.000421288,302.55,0.006955088,1.409249371,"mgc-co2_m2_d",2022-09-16,"SW_1",37,36.1,44.56,20,19,NA,NA,NA,"Fall"
"190","SW 1-4","SW",1,4,"CO2",11.22550389,0.005034991,302.65,0.01012201,1.577439312,"mgc-co2_m2_d",2022-09-16,"SW_1",41.9,40.7,44.56,25,19.1,NA,NA,NA,"Fall"
"191","SW 2-1","SW",2,1,"CO2",23.60601984,0.000104555,304.8,0.007588473,2.469351589,"mgc-co2_m2_d",2022-09-16,"SW_2",11.9,39.2,57.5,10,19.1,NA,NA,NA,"Fall"
"192","SW 2-2","SW",2,2,"CO2",19.76559228,0.00339777,304.65,0.007145104,1.947771181,"mgc-co2_m2_d",2022-09-16,"SW_2",34.4,36.7,57.5,5,19,NA,NA,NA,"Fall"
"193","SW 2-3","SW",2,3,"CO2",14.60204464,0.00011968,304.6,0.007081765,1.426415388,"mgc-co2_m2_d",2022-09-16,"SW_2",20,35.2,57.5,10,18.7,NA,NA,NA,"Fall"
"194","SW 2-4","SW",2,4,"CO2",24.64991986,0.000215527,304.75,0.008538549,2.901860986,"mgc-co2_m2_d",2022-09-16,"SW_2",27.5,35,57.5,65,19.2,NA,NA,NA,"Fall"
"195","UP 1-1","UP",1,1,"CO2",22.42185394,0.002151932,302.75,0.009171934,2.85409891,"mgc-co2_m2_d",2022-09-16,"UP_1",26.7,33.1,82.33,5,21.2,NA,NA,NA,"Fall"
"196","UP 1-2","UP",1,2,"CO2",16.3834385,0.00388084,303.9,0.009551964,2.163653759,"mgc-co2_m2_d",2022-09-16,"UP_1",28.6,29.5,82.33,5,21.2,NA,NA,NA,"Fall"
"197","UP 1-3","UP",1,3,"CO2",30.29106849,0.002520611,301.25,0.007968503,3.366549536,"mgc-co2_m2_d",2022-09-16,"UP_1",23.8,31.2,82.33,NA,20.4,NA,NA,NA,"Fall"
"198","UP 1-4","UP",1,4,"CO2",18.65843684,0.002283659,301.55,0.007905165,2.055169256,"mgc-co2_m2_d",2022-09-16,"UP_1",26.7,36.4,82.33,15,21.2,NA,NA,NA,"Fall"
"199","UP 2-1","UP",2,1,"CO2",13.09086923,0.000126033,305.1,0.00891858,1.607839598,"mgc-co2_m2_d",2022-09-16,"UP_2",32.4,24.7,65.22,5,21.4,NA,NA,NA,"Fall"
"200","UP 2-2","UP",2,2,"CO2",14.62742222,0.000241136,305.2,0.006765073,1.362311701,"mgc-co2_m2_d",2022-09-16,"UP_2",37.3,29.1,65.22,10,21.2,NA,NA,NA,"Fall"
"201","UP 2-3","UP",2,3,"CO2",8.909847572,0.008378975,304.75,0.008981918,1.103357819,"mgc-co2_m2_d",2022-09-16,"UP_2",37.3,31.2,65.22,NA,21.3,NA,NA,NA,"Fall"
"202","UP 2-4","UP",2,4,"CO2",19.62109916,2.57e-05,304.2,0.008475211,2.29686449,"mgc-co2_m2_d",2022-09-16,"UP_2",29.9,24.5,65.22,5,21.1,NA,NA,NA,"Fall"
"203","SW 1-1","SW",1,1,"CH4",7.02e-05,0.994826535,302.75,0.006385043,0.006219266,"mugc-ch4_m2_d",2022-09-16,"SW_1",43.1,47.5,44.56,30,19.3,NA,NA,NA,"Fall"
"204","SW 1-2","SW",1,2,"CH4",-0.000116788,0.894297399,302.65,0.007651811,-0.012406327,"mugc-ch4_m2_d",2022-09-16,"SW_1",46.5,45.7,44.56,20,18.9,NA,NA,NA,"Fall"
"205","SW 1-3","SW",1,3,"CH4",-0.008401609,0.227428475,302.55,0.006955088,-0.811500276,"mugc-ch4_m2_d",2022-09-16,"SW_1",37,36.1,44.56,20,19,NA,NA,NA,"Fall"
"206","SW 1-4","SW",1,4,"CH4",-0.002057003,0.196839693,302.65,0.01012201,-0.289055894,"mugc-ch4_m2_d",2022-09-16,"SW_1",41.9,40.7,44.56,25,19.1,NA,NA,NA,"Fall"
"207","SW 2-1","SW",2,1,"CH4",-0.015035417,0.047450288,304.8,0.007588473,-1.572807734,"mugc-ch4_m2_d",2022-09-16,"SW_2",11.9,39.2,57.5,10,19.1,NA,NA,NA,"Fall"
"208","SW 2-2","SW",2,2,"CH4",-0.007013894,0.086521717,304.65,0.007145104,-0.691173883,"mugc-ch4_m2_d",2022-09-16,"SW_2",34.4,36.7,57.5,5,19,NA,NA,NA,"Fall"
"209","SW 2-3","SW",2,3,"CH4",-0.011971984,0.112230107,304.6,0.007081765,-1.169495237,"mugc-ch4_m2_d",2022-09-16,"SW_2",20,35.2,57.5,10,18.7,NA,NA,NA,"Fall"
"210","SW 2-4","SW",2,4,"CH4",-0.006694266,0.00903452,304.75,0.008538549,-0.788068602,"mugc-ch4_m2_d",2022-09-16,"SW_2",27.5,35,57.5,65,19.2,NA,NA,NA,"Fall"
"211","UP 1-1","UP",1,1,"CH4",-0.011493922,0.035270594,302.75,0.009171934,-1.463072183,"mugc-ch4_m2_d",2022-09-16,"UP_1",26.7,33.1,82.33,5,21.2,NA,NA,NA,"Fall"
"212","UP 1-2","UP",1,2,"CH4",-0.003941771,0.005152864,303.9,0.009551964,-0.520564018,"mugc-ch4_m2_d",2022-09-16,"UP_1",28.6,29.5,82.33,5,21.2,NA,NA,NA,"Fall"
"213","UP 1-3","UP",1,3,"CH4",-0.012450542,0.0017683,301.25,0.007968503,-1.383753333,"mugc-ch4_m2_d",2022-09-16,"UP_1",23.8,31.2,82.33,NA,20.4,NA,NA,NA,"Fall"
"214","UP 1-4","UP",1,4,"CH4",0.001828606,0.937789073,301.55,0.007905165,0.201415359,"mugc-ch4_m2_d",2022-09-16,"UP_1",26.7,36.4,82.33,15,21.2,NA,NA,NA,"Fall"
"215","UP 2-1","UP",2,1,"CH4",-0.010005166,0.380506818,305.1,0.00891858,-1.228849066,"mugc-ch4_m2_d",2022-09-16,"UP_2",32.4,24.7,65.22,5,21.4,NA,NA,NA,"Fall"
"216","UP 2-2","UP",2,2,"CH4",-0.00470599,0.028720974,305.2,0.006765073,-0.438288132,"mugc-ch4_m2_d",2022-09-16,"UP_2",37.3,29.1,65.22,10,21.2,NA,NA,NA,"Fall"
"217","UP 2-3","UP",2,3,"CH4",-0.009862275,0.265413251,304.75,0.008981918,-1.221302437,"mugc-ch4_m2_d",2022-09-16,"UP_2",37.3,31.2,65.22,NA,21.3,NA,NA,NA,"Fall"
"218","UP 2-4","UP",2,4,"CH4",0.013953133,0.129561712,304.2,0.008475211,1.633367021,"mugc-ch4_m2_d",2022-09-16,"UP_2",29.9,24.5,65.22,5,21.1,NA,NA,NA,"Fall"
"219","SW 1-1","SW",1,1,"N2O",0.00113553,0.491587868,302.75,0.006385043,0.36875436,"mugn-n2o_m2_d",2022-09-16,"SW_1",43.1,47.5,44.56,30,19.3,NA,NA,NA,"Fall"
"220","SW 1-2","SW",1,2,"N2O",0.000315332,0.49072576,302.65,0.007651811,0.122757987,"mugn-n2o_m2_d",2022-09-16,"SW_1",46.5,45.7,44.56,20,18.9,NA,NA,NA,"Fall"
"221","SW 1-3","SW",1,3,"N2O",-0.001166494,0.083914988,302.55,0.006955088,-0.412901842,"mugn-n2o_m2_d",2022-09-16,"SW_1",37,36.1,44.56,20,19,NA,NA,NA,"Fall"
"222","SW 1-4","SW",1,4,"N2O",-0.000342698,0.731072663,302.65,0.01012201,-0.17648034,"mugn-n2o_m2_d",2022-09-16,"SW_1",41.9,40.7,44.56,25,19.1,NA,NA,NA,"Fall"
"223","SW 2-1","SW",2,1,"N2O",-0.000783115,0.308916196,304.8,0.007588473,-0.300208925,"mugn-n2o_m2_d",2022-09-16,"SW_2",11.9,39.2,57.5,10,19.1,NA,NA,NA,"Fall"
"224","SW 2-2","SW",2,2,"N2O",0.000853161,0.855896052,304.65,0.007145104,0.308103726,"mugn-n2o_m2_d",2022-09-16,"SW_2",34.4,36.7,57.5,5,19,NA,NA,NA,"Fall"
"225","SW 2-3","SW",2,3,"N2O",0.000212174,0.139318411,304.6,0.007081765,0.075956143,"mugn-n2o_m2_d",2022-09-16,"SW_2",20,35.2,57.5,10,18.7,NA,NA,NA,"Fall"
"226","SW 2-4","SW",2,4,"N2O",-0.000108583,0.885255771,304.75,0.008538549,-0.046844643,"mugn-n2o_m2_d",2022-09-16,"SW_2",27.5,35,57.5,65,19.2,NA,NA,NA,"Fall"
"227","UP 1-1","UP",1,1,"N2O",-0.000522864,0.304804673,302.75,0.009171934,-0.243906908,"mugn-n2o_m2_d",2022-09-16,"UP_1",26.7,33.1,82.33,5,21.2,NA,NA,NA,"Fall"
"228","UP 1-2","UP",1,2,"N2O",0.00063962,0.38335097,303.9,0.009551964,0.309558425,"mugn-n2o_m2_d",2022-09-16,"UP_1",28.6,29.5,82.33,5,21.2,NA,NA,NA,"Fall"
"229","UP 1-3","UP",1,3,"N2O",0.000529101,0.566619724,301.25,0.007968503,0.215499654,"mugn-n2o_m2_d",2022-09-16,"UP_1",23.8,31.2,82.33,NA,20.4,NA,NA,NA,"Fall"
"230","UP 1-4","UP",1,4,"N2O",0.003044417,0.661430953,301.55,0.007905165,1.228893884,"mugn-n2o_m2_d",2022-09-16,"UP_1",26.7,36.4,82.33,15,21.2,NA,NA,NA,"Fall"
"231","UP 2-1","UP",2,1,"N2O",-0.001308863,0.099251564,305.1,0.00891858,-0.589123753,"mugn-n2o_m2_d",2022-09-16,"UP_2",32.4,24.7,65.22,5,21.4,NA,NA,NA,"Fall"
"232","UP 2-2","UP",2,2,"N2O",-0.000131732,0.644331098,305.2,0.006765073,-0.044961226,"mugn-n2o_m2_d",2022-09-16,"UP_2",37.3,29.1,65.22,10,21.2,NA,NA,NA,"Fall"
"233","UP 2-3","UP",2,3,"N2O",-0.001920527,0.002278688,304.75,0.008981918,-0.87157449,"mugn-n2o_m2_d",2022-09-16,"UP_2",37.3,31.2,65.22,NA,21.3,NA,NA,NA,"Fall"
"234","UP 2-4","UP",2,4,"N2O",0.001312596,0.22964111,304.2,0.008475211,0.563094048,"mugn-n2o_m2_d",2022-09-16,"UP_2",29.9,24.5,65.22,5,21.1,NA,NA,NA,"Fall"
"235","SW 1-1","SW",1,1,"CO2",12.40723806,0.006284864,290.15,0.006385043,1.14719461,"mgc-co2_m2_d",2022-09-30,"SW_1",43.4,NA,47.23,20,14.5,NA,NA,NA,"Fall"
"236","SW 1-2","SW",1,2,"CO2",9.713590781,3.28e-05,290.05,0.007651811,1.076693024,"mgc-co2_m2_d",2022-09-30,"SW_1",46.5,NA,47.23,15,14.6,NA,NA,NA,"Fall"
"237","SW 1-3","SW",1,3,"CO2",8.274545227,0.000238652,290.05,0.006955088,0.833670867,"mgc-co2_m2_d",2022-09-30,"SW_1",43.4,NA,47.23,10,14.3,NA,NA,NA,"Fall"
"238","SW 1-4","SW",1,4,"CO2",6.160307982,0.152289534,290.2,0.01012201,0.902801995,"mgc-co2_m2_d",2022-09-30,"SW_1",44.3,NA,47.23,20,14.4,NA,NA,NA,"Fall"
"239","SW 2-1","SW",2,1,"CO2",14.66674906,0.000196479,293.9,0.007588473,1.591143687,"mgc-co2_m2_d",2022-09-30,"SW_2",12.6,NA,54.91,5,13.5,NA,NA,NA,"Fall"
"240","SW 2-2","SW",2,2,"CO2",12.680651,0.015975502,293.7,0.007145104,1.296184695,"mgc-co2_m2_d",2022-09-30,"SW_2",40.4,NA,54.91,NA,13.5,NA,NA,NA,"Fall"
"241","SW 2-3","SW",2,3,"CO2",10.73990984,8.38e-06,294.05,0.007081765,1.086780141,"mgc-co2_m2_d",2022-09-30,"SW_2",35.9,NA,54.91,5,13.7,NA,NA,NA,"Fall"
"242","SW 2-4","SW",2,4,"CO2",16.92920864,0.001123019,293.9,0.008538549,2.066530777,"mgc-co2_m2_d",2022-09-30,"SW_2",12.9,NA,54.91,85,13.5,NA,NA,NA,"Fall"
"243","UP 1-1","UP",1,1,"CO2",12.11729286,0.003067964,294.6,0.009171934,1.585092146,"mgc-co2_m2_d",2022-09-30,"UP_1",29.9,NA,81.85,5,15.3,NA,NA,NA,"Fall"
"244","UP 1-2","UP",1,2,"CO2",9.496525079,0.001294702,294.55,0.009551964,1.293954784,"mgc-co2_m2_d",2022-09-30,"UP_1",28.9,NA,81.85,5,15.1,NA,NA,NA,"Fall"
"245","UP 1-3","UP",1,3,"CO2",14.03784157,0.000241807,294.2,0.007968503,1.597552503,"mgc-co2_m2_d",2022-09-30,"UP_1",23.5,NA,81.85,NA,14.6,NA,NA,NA,"Fall"
"246","UP 1-4","UP",1,4,"CO2",10.06878911,3.67e-05,294.6,0.007905165,1.135209907,"mgc-co2_m2_d",2022-09-30,"UP_1",30.6,NA,81.85,NA,14.9,NA,NA,NA,"Fall"
"247","UP 2-1","UP",2,1,"CO2",7.947557137,0.001217402,289.1,0.00891858,1.030153662,"mgc-co2_m2_d",2022-09-30,"UP_2",35.7,NA,95.3,NA,14.8,NA,NA,NA,"Fall"
"248","UP 2-2","UP",2,2,"CO2",10.83612548,0.128236053,290.05,0.006765073,1.061926294,"mgc-co2_m2_d",2022-09-30,"UP_2",35.5,NA,95.3,5,15.1,NA,NA,NA,"Fall"
"249","UP 2-3","UP",2,3,"CO2",7.41251345,0.003173133,290.15,0.008981918,0.964123651,"mgc-co2_m2_d",2022-09-30,"UP_2",38.5,NA,95.3,NA,14.9,NA,NA,NA,"Fall"
"250","UP 2-4","UP",2,4,"CO2",12.54774547,0.000235039,290.3,0.008475211,1.539181786,"mgc-co2_m2_d",2022-09-30,"UP_2",30.1,NA,95.3,10,14.5,NA,NA,NA,"Fall"
"251","SW 1-1","SW",1,1,"CH4",-0.001560332,0.825201557,290.15,0.006385043,-0.14427098,"mugc-ch4_m2_d",2022-09-30,"SW_1",43.4,NA,47.23,20,14.5,NA,NA,NA,"Fall"
"252","SW 1-2","SW",1,2,"CH4",-0.001633456,0.111105399,290.05,0.007651811,-0.181058799,"mugc-ch4_m2_d",2022-09-30,"SW_1",46.5,NA,47.23,15,14.6,NA,NA,NA,"Fall"
"253","SW 1-3","SW",1,3,"CH4",-0.008106581,0.073959232,290.05,0.006955088,-0.816748258,"mugc-ch4_m2_d",2022-09-30,"SW_1",43.4,NA,47.23,10,14.3,NA,NA,NA,"Fall"
"254","SW 1-4","SW",1,4,"CH4",-0.006085896,0.552389144,290.2,0.01012201,-0.891896885,"mugc-ch4_m2_d",2022-09-30,"SW_1",44.3,NA,47.23,20,14.4,NA,NA,NA,"Fall"
"255","SW 2-1","SW",2,1,"CH4",-0.006130915,0.013784197,293.9,0.007588473,-0.665121275,"mugc-ch4_m2_d",2022-09-30,"SW_2",12.6,NA,54.91,5,13.5,NA,NA,NA,"Fall"
